Seyonic Pipettor Initializing...,Tue Aug  8 13:18:28 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:18:51 2023,
close_valve(channel=0),Tue Aug  8 13:18:52 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:18:53 2023,
dispense(pressure=100),Tue Aug  8 13:19:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:05 2023,
dispense(pressure=100),Tue Aug  8 13:19:09 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:09 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:11 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:19:14 2023,
close_valve(channel=0),Tue Aug  8 13:19:15 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:19:16 2023,
dispense(pressure=100),Tue Aug  8 13:19:19 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:19 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:21 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:19:25 2023,
close_valve(channel=0),Tue Aug  8 13:19:27 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:19:28 2023,
dispense(pressure=100),Tue Aug  8 13:19:31 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:31 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:33 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:19:37 2023,
close_valve(channel=0),Tue Aug  8 13:19:38 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:19:39 2023,
dispense(pressure=100),Tue Aug  8 13:19:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:19:48 2023,
close_valve(channel=0),Tue Aug  8 13:19:49 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:19:50 2023,
dispense(pressure=100),Tue Aug  8 13:19:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:19:54 2023,
dispense(pressure=100),Tue Aug  8 13:19:59 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:19:59 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:20:01 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:20:04 2023,
close_valve(channel=0),Tue Aug  8 13:20:06 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:20:07 2023,
dispense(pressure=100),Tue Aug  8 13:20:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:20:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:20:28 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:21:02 2023,
close_valve(channel=0),Tue Aug  8 13:21:03 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:21:04 2023,
dispense(pressure=100),Tue Aug  8 13:21:14 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:21:14 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:21:16 2023,
dispense(pressure=100),Tue Aug  8 13:21:20 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 13:21:20 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 13:21:22 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 13:21:25 2023,
close_valve(channel=0),Tue Aug  8 13:21:26 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 13:21:27 2023,
dispense(pressure=100),Tue Aug  8 13:21:31 2023,
