Seyonic Pipettor Initializing...,Tue Jul 11 11:09:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:09:37 2023,
close_valve(channel=0),Tue Jul 11 11:09:38 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:09:39 2023,
dispense(pressure=100),Tue Jul 11 11:09:49 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:09:49 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:09:52 2023,
dispense(pressure=100),Tue Jul 11 11:09:56 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:09:56 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:09:58 2023,
dispense(pressure=100),Tue Jul 11 11:10:02 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:10:02 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:10:04 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:11:38 2023,
close_valve(channel=0),Tue Jul 11 11:11:39 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:11:40 2023,
dispense(pressure=100),Tue Jul 11 11:11:50 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:11:50 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:11:52 2023,
dispense(pressure=100),Tue Jul 11 11:11:57 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:11:57 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:11:59 2023,
dispense(pressure=100),Tue Jul 11 11:12:03 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:12:03 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:12:05 2023,
