Seyonic Pipettor Initializing...,Thu Jun 29 13:45:52 2023,
dispense(pressure=100),Thu Jun 29 13:46:00 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:46:00 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:46:03 2023,
dispense(pressure=100),Thu Jun 29 13:46:08 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:46:08 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:46:10 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:46:21 2023,
close_valve(channel=0),Thu Jun 29 13:46:23 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:46:24 2023,
dispense(pressure=100),Thu Jun 29 13:46:34 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:46:34 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:46:37 2023,
dispense(pressure=100),Thu Jun 29 13:46:42 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:46:42 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:46:44 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:47:16 2023,
close_valve(channel=0),Thu Jun 29 13:47:18 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:47:19 2023,
