Seyonic Pipettor Initializing...,Fri Nov  3 14:49:02 2023,
dispense(pressure=100),Fri Nov  3 14:53:46 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:53:46 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:53:49 2023,
dispense(pressure=100),Fri Nov  3 14:53:55 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:53:55 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:53:57 2023,
dispense(pressure=100),Fri Nov  3 14:54:01 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:54:01 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:54:03 2023,
dispense(pressure=100),Fri Nov  3 14:54:07 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:54:07 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:54:09 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:54:46 2023,
close_valve(channel=0),Fri Nov  3 14:54:47 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:54:48 2023,
dispense(pressure=100),Fri Nov  3 14:54:50 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:54:50 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:54:53 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:54:56 2023,
close_valve(channel=0),Fri Nov  3 14:54:57 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:54:58 2023,
dispense(pressure=100),Fri Nov  3 14:55:00 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:55:00 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:55:02 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:55:05 2023,
close_valve(channel=0),Fri Nov  3 14:55:07 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:55:08 2023,
dispense(pressure=100),Fri Nov  3 14:55:10 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:55:10 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:55:12 2023,
dispense(pressure=100),Fri Nov  3 14:55:17 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:55:17 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:55:19 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:57:54 2023,
close_valve(channel=0),Fri Nov  3 14:57:56 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:57:57 2023,
dispense(pressure=100),Fri Nov  3 14:58:06 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:58:06 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:58:09 2023,
dispense(pressure=100),Fri Nov  3 14:58:14 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:58:14 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:58:16 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:58:27 2023,
close_valve(channel=0),Fri Nov  3 14:58:29 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:58:30 2023,
dispense(pressure=100),Fri Nov  3 14:58:42 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:58:42 2023,
