Seyonic Pipettor Initializing...,Tue Jul 11 11:50:42 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:50:49 2023,
close_valve(channel=0),Tue Jul 11 11:50:51 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:50:52 2023,
dispense(pressure=100),Tue Jul 11 11:50:55 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:50:55 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:50:57 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:51:01 2023,
close_valve(channel=0),Tue Jul 11 11:51:03 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:51:04 2023,
dispense(pressure=100),Tue Jul 11 11:51:07 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:51:07 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:51:10 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:51:14 2023,
close_valve(channel=0),Tue Jul 11 11:51:15 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:51:16 2023,
dispense(pressure=100),Tue Jul 11 11:51:19 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:51:19 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:51:22 2023,
