Seyonic Pipettor Initializing...,Thu Nov  9 11:05:35 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:05:54 2023,
close_valve(channel=0),Thu Nov  9 11:05:56 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:05:57 2023,
dispense(pressure=100),Thu Nov  9 11:06:07 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:07 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:09 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:06:11 2023,
close_valve(channel=0),Thu Nov  9 11:06:12 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:06:13 2023,
dispense(pressure=100),Thu Nov  9 11:06:14 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:14 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:16 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:06:18 2023,
close_valve(channel=0),Thu Nov  9 11:06:20 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:06:21 2023,
dispense(pressure=100),Thu Nov  9 11:06:22 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:22 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:24 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:06:26 2023,
close_valve(channel=0),Thu Nov  9 11:06:27 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:06:28 2023,
dispense(pressure=100),Thu Nov  9 11:06:29 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:29 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:31 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:06:33 2023,
close_valve(channel=0),Thu Nov  9 11:06:34 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:06:35 2023,
dispense(pressure=100),Thu Nov  9 11:06:36 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:36 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:39 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:06:41 2023,
close_valve(channel=0),Thu Nov  9 11:06:42 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:06:43 2023,
dispense(pressure=100),Thu Nov  9 11:06:44 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:06:44 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:06:46 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:07:19 2023,
close_valve(channel=0),Thu Nov  9 11:07:20 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:07:21 2023,
dispense(pressure=100),Thu Nov  9 11:07:22 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:07:22 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:07:24 2023,
dispense(pressure=100),Thu Nov  9 11:07:30 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:07:30 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:07:32 2023,
