Seyonic Pipettor Initializing...,Tue Sep 19 13:31:33 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:31:53 2023,
close_valve(channel=0),Tue Sep 19 13:31:57 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:31:58 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:32:03 2023,
close_valve(channel=0),Tue Sep 19 13:32:04 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:32:05 2023,
dispense(pressure=100),Tue Sep 19 13:32:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:32:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:00 2023,
dispense(pressure=100),Tue Sep 19 13:33:07 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:07 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:10 2023,
dispense(pressure=100),Tue Sep 19 13:33:17 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:17 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:19 2023,
dispense(pressure=100),Tue Sep 19 13:33:26 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:26 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:29 2023,
dispense(pressure=100),Tue Sep 19 13:33:36 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:36 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:38 2023,
dispense(pressure=100),Tue Sep 19 13:33:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:51 2023,
dispense(pressure=100),Tue Sep 19 13:33:56 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:33:56 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:33:58 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:34:07 2023,
close_valve(channel=0),Tue Sep 19 13:34:11 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:34:12 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:34:17 2023,
close_valve(channel=0),Tue Sep 19 13:34:18 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:34:19 2023,
dispense(pressure=100),Tue Sep 19 13:35:12 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:35:12 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:35:14 2023,
dispense(pressure=100),Tue Sep 19 13:35:22 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:35:22 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:35:24 2023,
dispense(pressure=100),Tue Sep 19 13:35:31 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:35:31 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:35:33 2023,
dispense(pressure=100),Tue Sep 19 13:35:40 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:35:41 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:35:43 2023,
dispense(pressure=100),Tue Sep 19 13:35:50 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:35:50 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:35:53 2023,
dispense(pressure=100),Tue Sep 19 13:36:03 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:36:03 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:36:05 2023,
dispense(pressure=100),Tue Sep 19 13:36:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:36:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:36:12 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:36:21 2023,
close_valve(channel=0),Tue Sep 19 13:36:25 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:36:27 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:36:31 2023,
close_valve(channel=0),Tue Sep 19 13:36:33 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:36:34 2023,
dispense(pressure=100),Tue Sep 19 13:37:27 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:37:27 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:37:29 2023,
dispense(pressure=100),Tue Sep 19 13:37:36 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:37:36 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:37:39 2023,
dispense(pressure=100),Tue Sep 19 13:37:46 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:37:46 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:37:48 2023,
dispense(pressure=100),Tue Sep 19 13:37:55 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:37:55 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:37:57 2023,
dispense(pressure=100),Tue Sep 19 13:38:05 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:38:05 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:38:07 2023,
dispense(pressure=100),Tue Sep 19 13:38:18 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:38:18 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:38:20 2023,
dispense(pressure=100),Tue Sep 19 13:38:25 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:38:25 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:38:27 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:38:36 2023,
close_valve(channel=0),Tue Sep 19 13:38:40 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:38:41 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:38:46 2023,
close_valve(channel=0),Tue Sep 19 13:38:47 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:38:48 2023,
dispense(pressure=100),Tue Sep 19 13:39:41 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:39:41 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:39:44 2023,
dispense(pressure=100),Tue Sep 19 13:39:51 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:39:51 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:39:53 2023,
dispense(pressure=100),Tue Sep 19 13:40:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:40:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:40:03 2023,
dispense(pressure=100),Tue Sep 19 13:40:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:40:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:40:12 2023,
dispense(pressure=100),Tue Sep 19 13:40:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:40:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:40:22 2023,
dispense(pressure=100),Tue Sep 19 13:40:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:40:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:40:35 2023,
dispense(pressure=100),Tue Sep 19 13:40:40 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:40:40 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:40:42 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:40:50 2023,
close_valve(channel=0),Tue Sep 19 13:40:55 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:40:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:41:01 2023,
close_valve(channel=0),Tue Sep 19 13:41:02 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:41:03 2023,
dispense(pressure=100),Tue Sep 19 13:41:56 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:41:56 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:41:58 2023,
dispense(pressure=100),Tue Sep 19 13:42:05 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:05 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:08 2023,
dispense(pressure=100),Tue Sep 19 13:42:15 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:15 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:17 2023,
dispense(pressure=100),Tue Sep 19 13:42:24 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:24 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:26 2023,
dispense(pressure=100),Tue Sep 19 13:42:34 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:34 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:36 2023,
dispense(pressure=100),Tue Sep 19 13:42:47 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:47 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:49 2023,
dispense(pressure=100),Tue Sep 19 13:42:54 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:42:54 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:42:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:43:05 2023,
close_valve(channel=0),Tue Sep 19 13:43:10 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:43:11 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:43:16 2023,
close_valve(channel=0),Tue Sep 19 13:43:17 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:43:18 2023,
dispense(pressure=100),Tue Sep 19 13:44:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:44:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:44:14 2023,
dispense(pressure=100),Tue Sep 19 13:44:21 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:44:21 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:44:23 2023,
dispense(pressure=100),Tue Sep 19 13:44:30 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:44:30 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:44:33 2023,
dispense(pressure=100),Tue Sep 19 13:44:40 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:44:40 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:44:42 2023,
dispense(pressure=100),Tue Sep 19 13:44:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:44:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:44:52 2023,
dispense(pressure=100),Tue Sep 19 13:45:02 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:45:02 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:45:05 2023,
dispense(pressure=100),Tue Sep 19 13:45:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:45:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:45:12 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:45:20 2023,
close_valve(channel=0),Tue Sep 19 13:45:25 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:45:26 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:45:31 2023,
close_valve(channel=0),Tue Sep 19 13:45:32 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:45:33 2023,
dispense(pressure=100),Tue Sep 19 13:46:26 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:46:26 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:46:28 2023,
dispense(pressure=100),Tue Sep 19 13:46:35 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:46:35 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:46:38 2023,
dispense(pressure=100),Tue Sep 19 13:46:45 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:46:45 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:46:47 2023,
dispense(pressure=100),Tue Sep 19 13:46:54 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:46:54 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:46:57 2023,
dispense(pressure=100),Tue Sep 19 13:47:04 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:47:04 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:47:06 2023,
dispense(pressure=100),Tue Sep 19 13:47:17 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:47:17 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:47:19 2023,
dispense(pressure=100),Tue Sep 19 13:47:25 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:47:25 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:47:26 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:47:35 2023,
close_valve(channel=0),Tue Sep 19 13:47:40 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:47:41 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:47:46 2023,
close_valve(channel=0),Tue Sep 19 13:47:47 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:47:48 2023,
dispense(pressure=100),Tue Sep 19 13:48:41 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:48:41 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:48:43 2023,
dispense(pressure=100),Tue Sep 19 13:48:50 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:48:50 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:48:53 2023,
dispense(pressure=100),Tue Sep 19 13:49:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:49:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:49:02 2023,
dispense(pressure=100),Tue Sep 19 13:49:09 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:49:09 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:49:12 2023,
dispense(pressure=100),Tue Sep 19 13:49:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:49:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:49:21 2023,
dispense(pressure=100),Tue Sep 19 13:49:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:49:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:49:34 2023,
dispense(pressure=100),Tue Sep 19 13:49:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:49:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:49:41 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:49:50 2023,
close_valve(channel=0),Tue Sep 19 13:49:54 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:49:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:50:00 2023,
close_valve(channel=0),Tue Sep 19 13:50:02 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:50:03 2023,
dispense(pressure=100),Tue Sep 19 13:50:56 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:50:56 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:50:58 2023,
dispense(pressure=100),Tue Sep 19 13:51:05 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:05 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:07 2023,
dispense(pressure=100),Tue Sep 19 13:51:15 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:15 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:17 2023,
dispense(pressure=100),Tue Sep 19 13:51:24 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:24 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:26 2023,
dispense(pressure=100),Tue Sep 19 13:51:33 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:33 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:36 2023,
dispense(pressure=100),Tue Sep 19 13:51:46 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:47 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:49 2023,
dispense(pressure=100),Tue Sep 19 13:51:54 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:51:54 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:51:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:51:58 2023,
close_valve(channel=0),Tue Sep 19 13:52:01 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:52:02 2023,
dispense(pressure=100),Tue Sep 19 13:52:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:52:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:52:22 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:52:25 2023,
close_valve(channel=0),Tue Sep 19 13:52:28 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:52:29 2023,
dispense(pressure=100),Tue Sep 19 13:52:31 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:52:31 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:52:35 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:52:37 2023,
close_valve(channel=0),Tue Sep 19 13:52:41 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:52:42 2023,
dispense(pressure=100),Tue Sep 19 13:52:44 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:52:44 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:52:48 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:52:51 2023,
close_valve(channel=0),Tue Sep 19 13:52:55 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:52:56 2023,
dispense(pressure=100),Tue Sep 19 13:52:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:52:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:53:02 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:53:05 2023,
close_valve(channel=0),Tue Sep 19 13:53:09 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:53:10 2023,
dispense(pressure=100),Tue Sep 19 13:53:18 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:53:18 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:53:22 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:55:46 2023,
close_valve(channel=0),Tue Sep 19 13:55:50 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:55:51 2023,
dispense(pressure=100),Tue Sep 19 13:56:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:56:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:56:05 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:56:38 2023,
close_valve(channel=0),Tue Sep 19 13:56:40 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:56:41 2023,
dispense(pressure=100),Tue Sep 19 13:56:50 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:56:50 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:56:53 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:57:05 2023,
close_valve(channel=0),Tue Sep 19 13:57:07 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:57:08 2023,
dispense(pressure=100),Tue Sep 19 13:57:09 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:57:09 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:57:11 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:57:13 2023,
close_valve(channel=0),Tue Sep 19 13:57:15 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:57:16 2023,
dispense(pressure=100),Tue Sep 19 13:57:17 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:57:17 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:57:20 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:57:22 2023,
close_valve(channel=0),Tue Sep 19 13:57:24 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:57:25 2023,
dispense(pressure=100),Tue Sep 19 13:57:26 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 13:57:26 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 13:57:29 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 13:57:51 2023,
close_valve(channel=0),Tue Sep 19 13:57:53 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 13:57:54 2023,
dispense(pressure=100),Tue Sep 19 13:57:55 2023,
