Seyonic Pipettor Initializing...,Thu Sep 28 12:19:11 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:19:19 2023,
close_valve(channel=0),Thu Sep 28 12:19:20 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:19:21 2023,
dispense(pressure=100),Thu Sep 28 12:19:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:19:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:19:25 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:19:28 2023,
close_valve(channel=0),Thu Sep 28 12:19:30 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:19:31 2023,
dispense(pressure=100),Thu Sep 28 12:19:33 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:19:33 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:19:35 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:19:38 2023,
close_valve(channel=0),Thu Sep 28 12:19:40 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:19:41 2023,
dispense(pressure=100),Thu Sep 28 12:19:43 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:19:43 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:19:45 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:19:48 2023,
close_valve(channel=0),Thu Sep 28 12:19:50 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:19:51 2023,
dispense(pressure=100),Thu Sep 28 12:19:53 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:19:53 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:19:55 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:19:58 2023,
close_valve(channel=0),Thu Sep 28 12:20:00 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:20:01 2023,
dispense(pressure=100),Thu Sep 28 12:20:03 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:20:03 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:20:05 2023,
dispense(pressure=100),Thu Sep 28 12:20:11 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:20:11 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:20:13 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:20:49 2023,
close_valve(channel=0),Thu Sep 28 12:20:50 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:20:52 2023,
dispense(pressure=100),Thu Sep 28 12:21:00 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:21:00 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:21:03 2023,
dispense(pressure=100),Thu Sep 28 12:21:07 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:21:07 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:21:09 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:21:45 2023,
close_valve(channel=0),Thu Sep 28 12:21:47 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:21:48 2023,
dispense(pressure=100),Thu Sep 28 12:21:58 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:21:58 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:22:00 2023,
dispense(pressure=100),Thu Sep 28 12:22:04 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:22:04 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:22:06 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:22:42 2023,
close_valve(channel=0),Thu Sep 28 12:22:44 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:22:45 2023,
dispense(pressure=100),Thu Sep 28 12:22:55 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:22:55 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:22:57 2023,
dispense(pressure=100),Thu Sep 28 12:23:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:01 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:03 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:06 2023,
close_valve(channel=0),Thu Sep 28 12:23:08 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:23:09 2023,
dispense(pressure=100),Thu Sep 28 12:23:11 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:11 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:14 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:17 2023,
close_valve(channel=0),Thu Sep 28 12:23:18 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:23:19 2023,
dispense(pressure=100),Thu Sep 28 12:23:21 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:21 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:24 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:27 2023,
close_valve(channel=0),Thu Sep 28 12:23:29 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:23:30 2023,
