Seyonic Pipettor Initializing...,Tue Oct  3 11:17:05 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:17:13 2023,
close_valve(channel=0),Tue Oct  3 11:17:15 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:17:16 2023,
dispense(pressure=100),Tue Oct  3 11:17:18 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:17:18 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:17:20 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:17:23 2023,
close_valve(channel=0),Tue Oct  3 11:17:25 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:17:26 2023,
dispense(pressure=100),Tue Oct  3 11:17:28 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:17:28 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:17:30 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:17:33 2023,
close_valve(channel=0),Tue Oct  3 11:17:34 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:17:36 2023,
dispense(pressure=100),Tue Oct  3 11:17:37 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:17:37 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:17:40 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:17:43 2023,
close_valve(channel=0),Tue Oct  3 11:17:44 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:17:45 2023,
dispense(pressure=100),Tue Oct  3 11:17:47 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:17:47 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:17:50 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:17:53 2023,
close_valve(channel=0),Tue Oct  3 11:17:54 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:17:55 2023,
dispense(pressure=100),Tue Oct  3 11:17:57 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:17:57 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:18:00 2023,
dispense(pressure=100),Tue Oct  3 11:18:06 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:18:06 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:18:07 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:18:43 2023,
close_valve(channel=0),Tue Oct  3 11:18:45 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:18:46 2023,
dispense(pressure=100),Tue Oct  3 11:18:55 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:18:55 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:18:57 2023,
dispense(pressure=100),Tue Oct  3 11:19:01 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:19:01 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:19:03 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:19:39 2023,
