Seyonic Pipettor Initializing...,Mon Jul 10 16:00:32 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:00:52 2023,
close_valve(channel=0),Mon Jul 10 16:00:55 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:00:56 2023,
dispense(pressure=100),Mon Jul 10 16:00:58 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:00:58 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:01:02 2023,
dispense(pressure=100),Mon Jul 10 16:01:09 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:01:09 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:01:11 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:01:15 2023,
close_valve(channel=0),Mon Jul 10 16:01:19 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:01:20 2023,
dispense(pressure=100),Mon Jul 10 16:01:27 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:01:27 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:01:32 2023,
dispense(pressure=100),Mon Jul 10 16:01:39 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:01:39 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:01:41 2023,
dispense(pressure=100),Mon Jul 10 16:01:48 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:01:48 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:01:51 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:01:59 2023,
close_valve(channel=0),Mon Jul 10 16:02:03 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:02:04 2023,
dispense(pressure=100),Mon Jul 10 16:02:06 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:02:06 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:02:10 2023,
dispense(pressure=100),Mon Jul 10 16:02:17 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:02:17 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:02:19 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:02:22 2023,
close_valve(channel=0),Mon Jul 10 16:02:26 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:02:27 2023,
dispense(pressure=100),Mon Jul 10 16:02:35 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:02:35 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:02:39 2023,
dispense(pressure=100),Mon Jul 10 16:02:46 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:02:46 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:02:49 2023,
dispense(pressure=100),Mon Jul 10 16:02:56 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:02:56 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:02:58 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:03:07 2023,
close_valve(channel=0),Mon Jul 10 16:03:10 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:03:11 2023,
dispense(pressure=100),Mon Jul 10 16:03:13 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:03:13 2023,
