Seyonic Pipettor Initializing...,Fri Jun 30 13:30:41 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:30:42 2023,
close_valve(channel=0),Fri Jun 30 13:30:45 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:30:46 2023,
dispense(pressure=200),Fri Jun 30 13:30:47 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:30:47 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:30:51 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:30:53 2023,
close_valve(channel=0),Fri Jun 30 13:30:56 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:30:57 2023,
dispense(pressure=200),Fri Jun 30 13:30:58 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:30:58 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:31:01 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:31:03 2023,
close_valve(channel=0),Fri Jun 30 13:31:07 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:31:08 2023,
dispense(pressure=200),Fri Jun 30 13:31:09 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:31:09 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:31:12 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:31:14 2023,
close_valve(channel=0),Fri Jun 30 13:31:17 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:31:18 2023,
dispense(pressure=200),Fri Jun 30 13:31:19 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:31:19 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:31:22 2023,
