Seyonic Pipettor Initializing...,Thu Aug  3 15:27:20 2023,
set_pressure(pressure=-100; direction=None),Thu Aug  3 15:27:41 2023,
close_valve(channel=0),Thu Aug  3 15:27:42 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:27:43 2023,
dispense(pressure=20),Thu Aug  3 15:27:54 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:27:54 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:27:56 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:27:58 2023,
close_valve(channel=0),Thu Aug  3 15:28:00 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:28:01 2023,
dispense(pressure=20),Thu Aug  3 15:28:19 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:28:19 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:28:21 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:28:23 2023,
close_valve(channel=0),Thu Aug  3 15:28:25 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:28:26 2023,
dispense(pressure=20),Thu Aug  3 15:28:39 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:28:39 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:28:42 2023,
dispense(pressure=20),Thu Aug  3 15:28:44 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:28:44 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:28:46 2023,
