Seyonic Pipettor Initializing...,Tue Aug 22 14:04:21 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:04:27 2023,
close_valve(channel=0),Tue Aug 22 14:04:29 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:04:30 2023,
dispense(pressure=100),Tue Aug 22 14:04:32 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:04:32 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:04:34 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:04:37 2023,
close_valve(channel=0),Tue Aug 22 14:04:39 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:04:40 2023,
dispense(pressure=100),Tue Aug 22 14:04:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:04:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:04:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:04:47 2023,
close_valve(channel=0),Tue Aug 22 14:04:49 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:04:50 2023,
dispense(pressure=100),Tue Aug 22 14:04:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:04:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:04:54 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:04:57 2023,
close_valve(channel=0),Tue Aug 22 14:04:59 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:05:00 2023,
dispense(pressure=100),Tue Aug 22 14:05:02 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:05:02 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:05:04 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:05:07 2023,
close_valve(channel=0),Tue Aug 22 14:05:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:05:10 2023,
dispense(pressure=100),Tue Aug 22 14:05:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:05:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:05:14 2023,
dispense(pressure=100),Tue Aug 22 14:05:20 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:05:20 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:05:22 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:05:58 2023,
close_valve(channel=0),Tue Aug 22 14:05:59 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:06:00 2023,
dispense(pressure=100),Tue Aug 22 14:06:09 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:06:09 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:06:11 2023,
dispense(pressure=100),Tue Aug 22 14:06:15 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:06:15 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:06:17 2023,
set_pressure(pressure=-8; direction=None),Tue Aug 22 14:06:53 2023,
close_valve(channel=0),Tue Aug 22 14:06:56 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:06:57 2023,
dispense(pressure=20),Tue Aug 22 14:07:07 2023,
set_pressure(pressure=20; direction=1),Tue Aug 22 14:07:07 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:07:09 2023,
dispense(pressure=20),Tue Aug 22 14:07:13 2023,
set_pressure(pressure=20; direction=1),Tue Aug 22 14:07:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:07:16 2023,
set_pressure(pressure=-8; direction=None),Tue Aug 22 14:07:52 2023,
close_valve(channel=6),Tue Aug 22 14:07:57 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:07:58 2023,
close_valve(channel=0),Tue Aug 22 14:07:58 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:07:59 2023,
