Seyonic Pipettor Initializing...,Fri Jun 30 10:34:59 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:00 2023,
close_valve(channel=0),Fri Jun 30 10:35:03 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:35:04 2023,
dispense(pressure=200),Fri Jun 30 10:35:05 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:05 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:08 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:10 2023,
close_valve(channel=0),Fri Jun 30 10:35:13 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:35:14 2023,
dispense(pressure=200),Fri Jun 30 10:35:15 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:15 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:18 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:20 2023,
close_valve(channel=0),Fri Jun 30 10:35:23 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:35:24 2023,
dispense(pressure=200),Fri Jun 30 10:35:25 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:25 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:28 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:30 2023,
close_valve(channel=0),Fri Jun 30 10:35:33 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:35:34 2023,
dispense(pressure=200),Fri Jun 30 10:35:35 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:35 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:38 2023,
dispense(pressure=200),Fri Jun 30 10:35:40 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:40 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:43 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:45 2023,
close_valve(channel=0),Fri Jun 30 10:35:48 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:35:50 2023,
dispense(pressure=200),Fri Jun 30 10:35:51 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:35:51 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:35:53 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:35:55 2023,
close_valve(channel=0),Fri Jun 30 10:35:59 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:36:00 2023,
