Seyonic Pipettor Initializing...,Thu Jul 27 15:09:33 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:09:39 2023,
close_valve(channel=0),Thu Jul 27 15:09:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:09:42 2023,
dispense(pressure=100),Thu Jul 27 15:09:52 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:09:52 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:09:54 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:09:56 2023,
close_valve(channel=0),Thu Jul 27 15:09:57 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:09:58 2023,
dispense(pressure=100),Thu Jul 27 15:09:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:09:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:10:02 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:10:04 2023,
close_valve(channel=0),Thu Jul 27 15:10:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:10:06 2023,
dispense(pressure=100),Thu Jul 27 15:10:07 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:10:07 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:10:09 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:10:11 2023,
close_valve(channel=0),Thu Jul 27 15:10:13 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:10:14 2023,
dispense(pressure=100),Thu Jul 27 15:10:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:10:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:10:17 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:10:19 2023,
close_valve(channel=0),Thu Jul 27 15:10:20 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:10:21 2023,
dispense(pressure=100),Thu Jul 27 15:10:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:10:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:10:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:10:26 2023,
close_valve(channel=0),Thu Jul 27 15:10:28 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:10:29 2023,
dispense(pressure=100),Thu Jul 27 15:10:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:10:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:10:32 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:11:05 2023,
close_valve(channel=0),Thu Jul 27 15:11:06 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:11:07 2023,
dispense(pressure=100),Thu Jul 27 15:11:08 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:11:08 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:11:10 2023,
dispense(pressure=100),Thu Jul 27 15:11:16 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:11:16 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:11:18 2023,
