Seyonic Pipettor Initializing...,Tue Aug  1 11:52:17 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:52:38 2023,
close_valve(channel=0),Tue Aug  1 11:52:43 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:52:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:52:49 2023,
close_valve(channel=0),Tue Aug  1 11:52:50 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:52:51 2023,
dispense(pressure=100),Tue Aug  1 11:53:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:53:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:53:46 2023,
dispense(pressure=100),Tue Aug  1 11:53:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:53:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:53:56 2023,
dispense(pressure=100),Tue Aug  1 11:54:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:54:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:54:05 2023,
dispense(pressure=100),Tue Aug  1 11:54:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:54:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:54:15 2023,
dispense(pressure=100),Tue Aug  1 11:54:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:54:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:54:24 2023,
dispense(pressure=100),Tue Aug  1 11:54:35 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:54:35 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:54:37 2023,
dispense(pressure=100),Tue Aug  1 11:54:42 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:54:42 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:54:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:54:52 2023,
close_valve(channel=0),Tue Aug  1 11:54:57 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:54:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:55:03 2023,
close_valve(channel=0),Tue Aug  1 11:55:04 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:55:05 2023,
dispense(pressure=100),Tue Aug  1 11:55:58 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:55:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:00 2023,
dispense(pressure=100),Tue Aug  1 11:56:08 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:08 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:10 2023,
dispense(pressure=100),Tue Aug  1 11:56:17 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:17 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:19 2023,
dispense(pressure=100),Tue Aug  1 11:56:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:29 2023,
dispense(pressure=100),Tue Aug  1 11:56:36 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:36 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:38 2023,
dispense(pressure=100),Tue Aug  1 11:56:49 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:49 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:51 2023,
dispense(pressure=100),Tue Aug  1 11:56:56 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:56:56 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:56:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:57:07 2023,
close_valve(channel=0),Tue Aug  1 11:57:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:57:12 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:57:17 2023,
close_valve(channel=0),Tue Aug  1 11:57:18 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:57:19 2023,
dispense(pressure=100),Tue Aug  1 11:58:13 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:58:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:58:15 2023,
dispense(pressure=100),Tue Aug  1 11:58:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:58:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:58:24 2023,
dispense(pressure=100),Tue Aug  1 11:58:31 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:58:31 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:58:34 2023,
dispense(pressure=100),Tue Aug  1 11:58:41 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:58:41 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:58:43 2023,
dispense(pressure=100),Tue Aug  1 11:58:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:58:50 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:58:53 2023,
dispense(pressure=100),Tue Aug  1 11:59:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:59:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:59:06 2023,
dispense(pressure=100),Tue Aug  1 11:59:11 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:59:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:59:13 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:59:21 2023,
close_valve(channel=0),Tue Aug  1 11:59:26 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:59:27 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:59:31 2023,
close_valve(channel=0),Tue Aug  1 11:59:33 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:59:34 2023,
dispense(pressure=100),Tue Aug  1 12:00:27 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:00:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:00:29 2023,
dispense(pressure=100),Tue Aug  1 12:00:36 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:00:36 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:00:39 2023,
dispense(pressure=100),Tue Aug  1 12:00:46 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:00:46 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:00:48 2023,
dispense(pressure=100),Tue Aug  1 12:00:55 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:00:55 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:00:57 2023,
dispense(pressure=100),Tue Aug  1 12:01:05 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:01:05 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:01:07 2023,
dispense(pressure=100),Tue Aug  1 12:01:18 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:01:18 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:01:20 2023,
dispense(pressure=100),Tue Aug  1 12:01:25 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:01:25 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:01:27 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:01:35 2023,
close_valve(channel=0),Tue Aug  1 12:01:40 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:01:41 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:01:46 2023,
close_valve(channel=0),Tue Aug  1 12:01:47 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:01:48 2023,
dispense(pressure=100),Tue Aug  1 12:02:41 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:02:41 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:02:43 2023,
dispense(pressure=100),Tue Aug  1 12:02:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:02:50 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:02:53 2023,
dispense(pressure=100),Tue Aug  1 12:03:00 2023,
