Seyonic Pipettor Initializing...,Fri Jun 30 13:24:12 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 13:24:19 2023,
close_valve(channel=0),Fri Jun 30 13:24:23 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:24:24 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 13:24:29 2023,
close_valve(channel=0),Fri Jun 30 13:24:31 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:24:32 2023,
dispense(pressure=200),Fri Jun 30 13:24:45 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:24:46 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:24:48 2023,
dispense(pressure=200),Fri Jun 30 13:24:51 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:24:51 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:24:53 2023,
dispense(pressure=200),Fri Jun 30 13:24:56 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:24:56 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:24:58 2023,
dispense(pressure=200),Fri Jun 30 13:25:01 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:25:01 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:25:03 2023,
dispense(pressure=200),Fri Jun 30 13:25:06 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:25:06 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:25:09 2023,
