Seyonic Pipettor Initializing...,Tue Jun  6 12:45:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:45:50 2023,
close_valve(channel=0),Tue Jun  6 12:45:52 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:45:53 2023,
dispense(pressure=100),Tue Jun  6 12:46:10 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:46:10 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:46:12 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:47:02 2023,
close_valve(channel=0),Tue Jun  6 12:47:04 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:47:05 2023,
dispense(pressure=100),Tue Jun  6 12:47:21 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:47:21 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:47:23 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:47:37 2023,
close_valve(channel=0),Tue Jun  6 12:47:38 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:47:40 2023,
dispense(pressure=100),Tue Jun  6 12:47:54 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:47:54 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:47:56 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:48:01 2023,
close_valve(channel=0),Tue Jun  6 12:48:02 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:48:03 2023,
dispense(pressure=100),Tue Jun  6 12:48:07 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:07 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:09 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:48:11 2023,
close_valve(channel=0),Tue Jun  6 12:48:13 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:48:14 2023,
dispense(pressure=100),Tue Jun  6 12:48:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:20 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:48:22 2023,
close_valve(channel=0),Tue Jun  6 12:48:23 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:48:24 2023,
dispense(pressure=100),Tue Jun  6 12:48:29 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:29 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:31 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:48:33 2023,
close_valve(channel=0),Tue Jun  6 12:48:34 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:48:35 2023,
dispense(pressure=100),Tue Jun  6 12:48:39 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:39 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:41 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:48:43 2023,
close_valve(channel=0),Tue Jun  6 12:48:45 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:48:46 2023,
dispense(pressure=100),Tue Jun  6 12:48:50 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:50 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:52 2023,
dispense(pressure=100),Tue Jun  6 12:48:57 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:48:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:48:59 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:49:01 2023,
close_valve(channel=0),Tue Jun  6 12:49:02 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:49:03 2023,
dispense(pressure=100),Tue Jun  6 12:49:08 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:49:08 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:49:10 2023,
dispense(pressure=100),Tue Jun  6 12:49:15 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:49:15 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:49:17 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 12:49:34 2023,
close_valve(channel=0),Tue Jun  6 12:49:35 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:49:36 2023,
dispense(pressure=100),Tue Jun  6 12:49:51 2023,
