Seyonic Pipettor Initializing...,Tue Sep 12 11:05:44 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:06:04 2023,
close_valve(channel=0),Tue Sep 12 11:06:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:06:09 2023,
dispense(pressure=100),Tue Sep 12 11:06:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:06:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:06:22 2023,
dispense(pressure=100),Tue Sep 12 11:06:29 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:06:29 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:06:32 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:06:35 2023,
close_valve(channel=0),Tue Sep 12 11:06:39 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:06:40 2023,
dispense(pressure=100),Tue Sep 12 11:06:48 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:06:48 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:06:59 2023,
dispense(pressure=100),Tue Sep 12 11:07:04 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:07:04 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:07:07 2023,
dispense(pressure=100),Tue Sep 12 11:07:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:07:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:07:14 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:07:23 2023,
close_valve(channel=0),Tue Sep 12 11:07:26 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:07:27 2023,
dispense(pressure=100),Tue Sep 12 11:07:29 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:07:29 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:07:41 2023,
dispense(pressure=100),Tue Sep 12 11:07:45 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:07:45 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:07:48 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:07:51 2023,
close_valve(channel=0),Tue Sep 12 11:07:55 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:07:56 2023,
dispense(pressure=100),Tue Sep 12 11:08:03 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:08:03 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:08:15 2023,
dispense(pressure=100),Tue Sep 12 11:08:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:08:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:08:22 2023,
dispense(pressure=100),Tue Sep 12 11:08:26 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:08:26 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:08:30 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:08:38 2023,
close_valve(channel=0),Tue Sep 12 11:08:42 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:08:43 2023,
dispense(pressure=100),Tue Sep 12 11:08:45 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:08:45 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:08:56 2023,
dispense(pressure=100),Tue Sep 12 11:09:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:09:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:09:03 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:09:06 2023,
close_valve(channel=0),Tue Sep 12 11:09:11 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:09:12 2023,
dispense(pressure=100),Tue Sep 12 11:09:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:09:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:09:31 2023,
dispense(pressure=100),Tue Sep 12 11:09:35 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:09:35 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:09:38 2023,
dispense(pressure=100),Tue Sep 12 11:09:42 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:09:42 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:09:45 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:09:54 2023,
close_valve(channel=0),Tue Sep 12 11:09:58 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:09:59 2023,
dispense(pressure=100),Tue Sep 12 11:10:01 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:10:01 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:10:12 2023,
dispense(pressure=100),Tue Sep 12 11:10:16 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:10:16 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:10:19 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:10:22 2023,
close_valve(channel=0),Tue Sep 12 11:10:27 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:10:28 2023,
dispense(pressure=100),Tue Sep 12 11:10:35 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:10:35 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:10:47 2023,
dispense(pressure=100),Tue Sep 12 11:10:51 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:10:51 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:10:54 2023,
dispense(pressure=100),Tue Sep 12 11:10:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:10:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:11:01 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:31:33 2023,
close_valve(channel=0),Tue Sep 12 11:31:38 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:31:39 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:31:43 2023,
close_valve(channel=0),Tue Sep 12 11:31:45 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:31:46 2023,
dispense(pressure=100),Tue Sep 12 11:32:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:32:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:32:42 2023,
dispense(pressure=100),Tue Sep 12 11:32:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:32:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:32:52 2023,
dispense(pressure=100),Tue Sep 12 11:32:59 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:32:59 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:33:02 2023,
dispense(pressure=100),Tue Sep 12 11:33:09 2023,
