Seyonic Pipettor Initializing...,Fri Sep 22 11:16:47 2023,
dispense(pressure=100),Fri Sep 22 11:16:57 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:16:57 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:16:59 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:17:01 2023,
close_valve(channel=0),Fri Sep 22 11:17:02 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:17:03 2023,
dispense(pressure=100),Fri Sep 22 11:17:04 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:17:04 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:17:06 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:17:08 2023,
close_valve(channel=0),Fri Sep 22 11:17:10 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:17:11 2023,
dispense(pressure=100),Fri Sep 22 11:17:12 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:17:12 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:17:14 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:17:16 2023,
close_valve(channel=0),Fri Sep 22 11:17:17 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:17:18 2023,
dispense(pressure=100),Fri Sep 22 11:17:19 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:17:19 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:17:21 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:17:23 2023,
close_valve(channel=0),Fri Sep 22 11:17:25 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:17:26 2023,
dispense(pressure=100),Fri Sep 22 11:17:27 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:17:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:17:29 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:17:31 2023,
close_valve(channel=0),Fri Sep 22 11:17:32 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:17:33 2023,
dispense(pressure=100),Fri Sep 22 11:17:34 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:17:34 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:17:36 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:18:09 2023,
close_valve(channel=0),Fri Sep 22 11:18:10 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:18:11 2023,
dispense(pressure=100),Fri Sep 22 11:18:12 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:18:12 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:18:14 2023,
dispense(pressure=100),Fri Sep 22 11:18:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:18:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:18:22 2023,
