Seyonic Pipettor Initializing...,Wed Sep 20 12:04:20 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:04:39 2023,
close_valve(channel=0),Wed Sep 20 12:04:40 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:04:41 2023,
dispense(pressure=100),Wed Sep 20 12:04:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:04:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:04:55 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:05:33 2023,
close_valve(channel=0),Wed Sep 20 12:05:34 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:05:35 2023,
dispense(pressure=100),Wed Sep 20 12:05:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:05:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:05:46 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:05:48 2023,
close_valve(channel=0),Wed Sep 20 12:05:49 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:05:50 2023,
dispense(pressure=100),Wed Sep 20 12:05:51 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:05:51 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:05:53 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:05:55 2023,
close_valve(channel=0),Wed Sep 20 12:05:57 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:05:58 2023,
dispense(pressure=100),Wed Sep 20 12:05:59 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:05:59 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:06:01 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:06:03 2023,
close_valve(channel=0),Wed Sep 20 12:06:04 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:06:05 2023,
dispense(pressure=100),Wed Sep 20 12:06:06 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:06:06 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:06:08 2023,
dispense(pressure=100),Wed Sep 20 12:06:21 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:06:21 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:06:23 2023,
