Seyonic Pipettor Initializing...,Tue Jun  6 14:35:47 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 14:36:19 2023,
close_valve(channel=0),Tue Jun  6 14:36:23 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:36:24 2023,
dispense(pressure=10),Tue Jun  6 14:37:11 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:37:11 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:37:16 2023,
open_valve(),Tue Jun  6 14:37:17 2023,
close_valve(channel=0),Tue Jun  6 14:37:23 2023,
dispense(pressure=10),Tue Jun  6 14:37:23 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:37:23 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:37:25 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:37:42 2023,
close_valve(channel=0),Tue Jun  6 14:37:45 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:37:46 2023,
open_valve(),Tue Jun  6 14:38:07 2023,
close_valve(channel=0),Tue Jun  6 14:38:37 2023,
