Seyonic Pipettor Initializing...,Fri Jun 30 10:29:52 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 10:30:00 2023,
close_valve(channel=0),Fri Jun 30 10:30:04 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:30:05 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 10:30:10 2023,
close_valve(channel=0),Fri Jun 30 10:30:12 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:30:13 2023,
dispense(pressure=100),Fri Jun 30 10:30:26 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:26 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:28 2023,
dispense(pressure=100),Fri Jun 30 10:30:31 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:31 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:33 2023,
dispense(pressure=100),Fri Jun 30 10:30:35 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:35 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:37 2023,
dispense(pressure=100),Fri Jun 30 10:30:39 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:39 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:41 2023,
dispense(pressure=100),Fri Jun 30 10:30:44 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:44 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:46 2023,
dispense(pressure=100),Fri Jun 30 10:30:48 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:48 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:50 2023,
dispense(pressure=100),Fri Jun 30 10:30:52 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:52 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:54 2023,
dispense(pressure=100),Fri Jun 30 10:30:56 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:30:56 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:30:59 2023,
dispense(pressure=100),Fri Jun 30 10:31:01 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:31:01 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:31:03 2023,
dispense(pressure=100),Fri Jun 30 10:31:05 2023,
set_pressure(pressure=100; direction=1),Fri Jun 30 10:31:05 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:31:07 2023,
