Seyonic Pipettor Initializing...,Wed Aug  2 15:51:41 2023,
dispense(pressure=20),Wed Aug  2 15:51:42 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:51:42 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:51:44 2023,
dispense(pressure=20),Wed Aug  2 15:51:50 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:51:50 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:51:52 2023,
dispense(pressure=20),Wed Aug  2 15:51:58 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:51:58 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:52:00 2023,
dispense(pressure=20),Wed Aug  2 15:52:06 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:52:06 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:52:08 2023,
dispense(pressure=20),Wed Aug  2 15:52:14 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:52:14 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:52:16 2023,
dispense(pressure=20),Wed Aug  2 15:52:22 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:52:22 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:52:24 2023,
