Seyonic Pipettor Initializing...,Wed Aug  9 20:57:01 2023,
dispense(pressure=20),Wed Aug  9 20:57:02 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:02 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:04 2023,
dispense(pressure=20),Wed Aug  9 20:57:09 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:09 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:11 2023,
dispense(pressure=20),Wed Aug  9 20:57:16 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:16 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:18 2023,
dispense(pressure=20),Wed Aug  9 20:57:23 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:23 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:25 2023,
dispense(pressure=20),Wed Aug  9 20:57:30 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:30 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:32 2023,
dispense(pressure=20),Wed Aug  9 20:57:37 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:57:37 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:57:39 2023,
