Seyonic Pipettor Initializing...,Tue Aug  8 12:23:44 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:24:05 2023,
close_valve(channel=0),Tue Aug  8 12:24:07 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:24:08 2023,
dispense(pressure=100),Tue Aug  8 12:24:17 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:17 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:24:19 2023,
dispense(pressure=100),Tue Aug  8 12:24:30 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:30 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:24:32 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:24:35 2023,
close_valve(channel=0),Tue Aug  8 12:24:36 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:24:37 2023,
dispense(pressure=100),Tue Aug  8 12:24:38 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:38 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:24:40 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:24:42 2023,
close_valve(channel=0),Tue Aug  8 12:24:43 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:24:44 2023,
dispense(pressure=100),Tue Aug  8 12:24:45 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:45 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:24:47 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:24:49 2023,
close_valve(channel=0),Tue Aug  8 12:24:50 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:24:52 2023,
dispense(pressure=100),Tue Aug  8 12:24:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:24:54 2023,
dispense(pressure=100),Tue Aug  8 12:24:59 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:24:59 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:25:00 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:25:10 2023,
close_valve(channel=0),Tue Aug  8 12:25:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:25:12 2023,
dispense(pressure=100),Tue Aug  8 12:25:13 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:25:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:25:15 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:25:17 2023,
close_valve(channel=0),Tue Aug  8 12:25:18 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:25:19 2023,
dispense(pressure=100),Tue Aug  8 12:25:20 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:25:20 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:25:22 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:25:24 2023,
close_valve(channel=0),Tue Aug  8 12:25:25 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:25:26 2023,
dispense(pressure=100),Tue Aug  8 12:25:27 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:25:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:25:29 2023,
dispense(pressure=100),Tue Aug  8 12:25:33 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:25:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:25:35 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 12:26:09 2023,
close_valve(channel=0),Tue Aug  8 12:26:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 12:26:12 2023,
dispense(pressure=100),Tue Aug  8 12:26:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:26:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:26:24 2023,
dispense(pressure=100),Tue Aug  8 12:26:33 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 12:26:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 12:26:35 2023,
