Seyonic Pipettor Initializing...,Tue Jun  6 13:25:47 2023,
dispense(pressure=10),Tue Jun  6 13:25:55 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 13:25:55 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 13:25:58 2023,
dispense(pressure=10),Tue Jun  6 13:26:01 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 13:26:01 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 13:26:03 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 13:26:19 2023,
close_valve(channel=0),Tue Jun  6 13:26:23 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 13:26:24 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 13:26:28 2023,
close_valve(channel=0),Tue Jun  6 13:26:29 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 13:26:30 2023,
