Seyonic Pipettor Initializing...,Wed Sep 13 14:58:02 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:58:08 2023,
close_valve(channel=0),Wed Sep 13 14:58:10 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:58:11 2023,
dispense(pressure=100),Wed Sep 13 14:58:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:58:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:58:15 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:58:19 2023,
close_valve(channel=0),Wed Sep 13 14:58:20 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:58:21 2023,
dispense(pressure=100),Wed Sep 13 14:58:23 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:58:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:58:25 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:58:28 2023,
close_valve(channel=0),Wed Sep 13 14:58:30 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:58:31 2023,
dispense(pressure=100),Wed Sep 13 14:58:33 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:58:33 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:58:35 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:58:38 2023,
close_valve(channel=0),Wed Sep 13 14:58:40 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:58:41 2023,
dispense(pressure=100),Wed Sep 13 14:58:43 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:58:43 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:58:45 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:58:49 2023,
close_valve(channel=0),Wed Sep 13 14:58:50 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:58:51 2023,
dispense(pressure=100),Wed Sep 13 14:58:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:58:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:58:56 2023,
dispense(pressure=100),Wed Sep 13 14:59:02 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:59:02 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:59:03 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:59:39 2023,
close_valve(channel=0),Wed Sep 13 14:59:40 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:59:41 2023,
dispense(pressure=100),Wed Sep 13 14:59:50 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:59:50 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:59:52 2023,
dispense(pressure=100),Wed Sep 13 14:59:56 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:59:56 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:59:58 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:00:33 2023,
close_valve(channel=0),Wed Sep 13 15:00:35 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:00:36 2023,
dispense(pressure=100),Wed Sep 13 15:00:45 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:00:45 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:00:48 2023,
dispense(pressure=100),Wed Sep 13 15:00:52 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:00:52 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:00:54 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:01:29 2023,
close_valve(channel=0),Wed Sep 13 15:01:30 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:01:31 2023,
dispense(pressure=100),Wed Sep 13 15:01:42 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:01:42 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:01:44 2023,
dispense(pressure=100),Wed Sep 13 15:01:48 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:01:48 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:01:50 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:01:53 2023,
close_valve(channel=0),Wed Sep 13 15:01:55 2023,
