Seyonic Pipettor Initializing...,Fri Jun 30 10:58:16 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 10:58:21 2023,
close_valve(channel=0),Fri Jun 30 10:58:25 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:58:26 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 10:58:31 2023,
close_valve(channel=0),Fri Jun 30 10:58:33 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:58:34 2023,
dispense(pressure=200),Fri Jun 30 10:59:07 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:59:07 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:59:09 2023,
dispense(pressure=200),Fri Jun 30 10:59:13 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:59:13 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:59:15 2023,
dispense(pressure=200),Fri Jun 30 10:59:18 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:59:18 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:59:20 2023,
dispense(pressure=200),Fri Jun 30 10:59:23 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:59:23 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:59:25 2023,
dispense(pressure=200),Fri Jun 30 10:59:28 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:59:28 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:59:30 2023,
