Seyonic Pipettor Initializing...,Thu Jun 29 13:53:17 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:53:36 2023,
close_valve(channel=0),Thu Jun 29 13:53:38 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:53:39 2023,
dispense(pressure=100),Thu Jun 29 13:53:47 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:53:48 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:53:50 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:54:12 2023,
close_valve(channel=0),Thu Jun 29 13:54:14 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:54:15 2023,
dispense(pressure=100),Thu Jun 29 13:54:24 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:54:24 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:54:27 2023,
dispense(pressure=100),Thu Jun 29 13:54:32 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:54:32 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:54:34 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:55:07 2023,
close_valve(channel=0),Thu Jun 29 13:55:08 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:55:09 2023,
dispense(pressure=100),Thu Jun 29 13:55:19 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:55:19 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:55:21 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:55:33 2023,
close_valve(channel=0),Thu Jun 29 13:55:34 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:55:35 2023,
dispense(pressure=100),Thu Jun 29 13:55:45 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:55:45 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:55:47 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:59:21 2023,
close_valve(channel=0),Thu Jun 29 13:59:22 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:59:23 2023,
dispense(pressure=100),Thu Jun 29 13:59:33 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:59:33 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:59:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:59:37 2023,
close_valve(channel=0),Thu Jun 29 13:59:39 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:59:40 2023,
dispense(pressure=100),Thu Jun 29 13:59:41 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:59:41 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:59:43 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:59:45 2023,
close_valve(channel=0),Thu Jun 29 13:59:46 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:59:47 2023,
dispense(pressure=100),Thu Jun 29 13:59:48 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:59:48 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:59:50 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:59:52 2023,
close_valve(channel=0),Thu Jun 29 13:59:53 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:59:54 2023,
dispense(pressure=100),Thu Jun 29 13:59:55 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:59:55 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:59:57 2023,
dispense(pressure=100),Thu Jun 29 14:02:10 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 14:02:10 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 14:02:12 2023,
