Seyonic Pipettor Initializing...,Tue Nov  7 14:16:06 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:16:13 2023,
close_valve(channel=0),Tue Nov  7 14:16:14 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:16:15 2023,
dispense(pressure=100),Tue Nov  7 14:16:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:16:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:16:20 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:16:23 2023,
close_valve(channel=0),Tue Nov  7 14:16:24 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:16:25 2023,
dispense(pressure=100),Tue Nov  7 14:16:27 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:16:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:16:30 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:16:33 2023,
close_valve(channel=0),Tue Nov  7 14:16:34 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:16:35 2023,
dispense(pressure=100),Tue Nov  7 14:16:37 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:16:37 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:16:40 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:16:43 2023,
close_valve(channel=0),Tue Nov  7 14:16:44 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:16:45 2023,
dispense(pressure=100),Tue Nov  7 14:16:47 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:16:47 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:16:50 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:16:52 2023,
close_valve(channel=0),Tue Nov  7 14:16:54 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:16:55 2023,
dispense(pressure=100),Tue Nov  7 14:16:57 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:16:57 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:16:59 2023,
dispense(pressure=100),Tue Nov  7 14:17:05 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:17:05 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:17:07 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:17:44 2023,
close_valve(channel=0),Tue Nov  7 14:17:45 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:17:46 2023,
dispense(pressure=100),Tue Nov  7 14:17:55 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:17:55 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:17:58 2023,
dispense(pressure=100),Tue Nov  7 14:18:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:18:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:18:04 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 14:18:40 2023,
close_valve(channel=0),Tue Nov  7 14:18:42 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 14:18:43 2023,
dispense(pressure=100),Tue Nov  7 14:18:52 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:18:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 14:18:55 2023,
dispense(pressure=100),Tue Nov  7 14:18:59 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 14:18:59 2023,
