Seyonic Pipettor Initializing...,Fri Jun 30 13:25:40 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 13:26:01 2023,
close_valve(channel=0),Fri Jun 30 13:26:05 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:26:06 2023,
set_pressure(pressure=-100; direction=None),Fri Jun 30 13:26:11 2023,
close_valve(channel=0),Fri Jun 30 13:26:12 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:26:13 2023,
dispense(pressure=200),Fri Jun 30 13:26:27 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:26:27 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:26:30 2023,
dispense(pressure=200),Fri Jun 30 13:26:33 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:26:33 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:26:35 2023,
dispense(pressure=200),Fri Jun 30 13:26:38 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:26:38 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:26:40 2023,
dispense(pressure=200),Fri Jun 30 13:26:43 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:26:43 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:26:45 2023,
dispense(pressure=200),Fri Jun 30 13:26:48 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:26:48 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:26:51 2023,
