Seyonic Pipettor Initializing...,Tue Jun  6 11:49:50 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:50:18 2023,
close_valve(channel=0),Tue Jun  6 11:50:19 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:50:20 2023,
dispense(pressure=100),Tue Jun  6 11:50:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:50:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:50:38 2023,
dispense(pressure=100),Tue Jun  6 11:50:43 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:50:43 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:50:45 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:51:01 2023,
close_valve(channel=0),Tue Jun  6 11:51:02 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:51:03 2023,
dispense(pressure=100),Tue Jun  6 11:51:19 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:51:19 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:51:21 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:51:25 2023,
close_valve(channel=0),Tue Jun  6 11:51:27 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:51:28 2023,
dispense(pressure=100),Tue Jun  6 11:51:30 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:51:30 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:51:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:51:34 2023,
close_valve(channel=0),Tue Jun  6 11:51:35 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:51:36 2023,
dispense(pressure=100),Tue Jun  6 11:51:38 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:51:38 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:51:40 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:51:42 2023,
close_valve(channel=0),Tue Jun  6 11:51:43 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:51:44 2023,
dispense(pressure=100),Tue Jun  6 11:51:46 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:51:46 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:51:48 2023,
dispense(pressure=100),Tue Jun  6 11:51:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:51:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:51:54 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:52:45 2023,
close_valve(channel=0),Tue Jun  6 11:52:46 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:52:47 2023,
dispense(pressure=100),Tue Jun  6 11:53:09 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:53:09 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:53:11 2023,
dispense(pressure=100),Tue Jun  6 11:53:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:53:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:53:20 2023,
