Seyonic Pipettor Initializing...,Wed Aug  2 09:38:32 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 09:38:33 2023,
close_valve(channel=0),Wed Aug  2 09:38:34 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:38:36 2023,
dispense(pressure=20),Wed Aug  2 09:38:46 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 09:38:46 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 09:38:48 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 09:38:50 2023,
close_valve(channel=0),Wed Aug  2 09:38:52 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:38:53 2023,
dispense(pressure=20),Wed Aug  2 09:39:09 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 09:39:09 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 09:39:11 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 09:39:13 2023,
close_valve(channel=0),Wed Aug  2 09:39:15 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:39:16 2023,
