Seyonic Pipettor Initializing...,Fri Jun 30 10:36:29 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:36:30 2023,
close_valve(channel=0),Fri Jun 30 10:36:33 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:36:34 2023,
dispense(pressure=200),Fri Jun 30 10:36:35 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:36:35 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:36:38 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:36:40 2023,
close_valve(channel=0),Fri Jun 30 10:36:43 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:36:45 2023,
dispense(pressure=200),Fri Jun 30 10:36:46 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:36:46 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:36:49 2023,
dispense(pressure=200),Fri Jun 30 10:36:51 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:36:51 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:36:54 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:36:56 2023,
close_valve(channel=0),Fri Jun 30 10:36:59 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:37:00 2023,
