Seyonic Pipettor Initializing...,Fri Jun 30 10:54:02 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:03 2023,
close_valve(channel=0),Fri Jun 30 10:54:06 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:54:07 2023,
dispense(pressure=200),Fri Jun 30 10:54:08 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:54:08 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:54:11 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:14 2023,
close_valve(channel=0),Fri Jun 30 10:54:17 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:54:18 2023,
dispense(pressure=200),Fri Jun 30 10:54:19 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:54:19 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:54:22 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:24 2023,
close_valve(channel=0),Fri Jun 30 10:54:27 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:54:28 2023,
dispense(pressure=200),Fri Jun 30 10:54:29 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:54:29 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:54:32 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:35 2023,
close_valve(channel=0),Fri Jun 30 10:54:38 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:54:39 2023,
dispense(pressure=200),Fri Jun 30 10:54:40 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:54:40 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:54:43 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:45 2023,
close_valve(channel=0),Fri Jun 30 10:54:48 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:54:49 2023,
dispense(pressure=200),Fri Jun 30 10:54:50 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:54:50 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:54:54 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:54:56 2023,
close_valve(channel=0),Fri Jun 30 10:54:59 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:55:00 2023,
dispense(pressure=200),Fri Jun 30 10:55:01 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:55:01 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:55:04 2023,
