Seyonic Pipettor Initializing...,Tue Oct  3 12:56:33 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:56:53 2023,
close_valve(channel=0),Tue Oct  3 12:56:55 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:56:56 2023,
dispense(pressure=100),Tue Oct  3 12:57:10 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:57:10 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:57:12 2023,
dispense(pressure=100),Tue Oct  3 12:57:31 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:57:31 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:57:33 2023,
dispense(pressure=100),Tue Oct  3 12:57:44 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:57:44 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:57:46 2023,
dispense(pressure=100),Tue Oct  3 12:57:50 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:57:50 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:57:52 2023,
dispense(pressure=100),Tue Oct  3 12:58:19 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:58:19 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:58:22 2023,
change_timeout(timeout_in_seconds=200),Tue Oct  3 12:58:30 2023,
set_pressure(pressure=-500; direction=2),Tue Oct  3 12:58:30 2023,
open_valve(),Tue Oct  3 12:58:31 2023,
close_valve(channel=0),Tue Oct  3 13:01:17 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 13:01:17 2023,
set_pressure(pressure=241; direction=1),Tue Oct  3 13:01:17 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 13:01:17 2023,
change_timeout(timeout_in_seconds=65),Tue Oct  3 13:01:21 2023,
change_timeout(timeout_in_seconds=200),Tue Oct  3 13:01:30 2023,
set_pressure(pressure=-500; direction=2),Tue Oct  3 13:01:30 2023,
open_valve(),Tue Oct  3 13:01:31 2023,
close_valve(channel=0),Tue Oct  3 13:04:17 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 13:04:18 2023,
set_pressure(pressure=241; direction=1),Tue Oct  3 13:04:18 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 13:04:18 2023,
change_timeout(timeout_in_seconds=65),Tue Oct  3 13:04:21 2023,
