Seyonic Pipettor Initializing...,Fri Aug 25 13:56:06 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:56:25 2023,
close_valve(channel=0),Fri Aug 25 13:56:29 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:56:30 2023,
dispense(pressure=100),Fri Aug 25 13:56:32 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:56:32 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:56:36 2023,
dispense(pressure=100),Fri Aug 25 13:56:43 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:56:43 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:56:45 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:56:48 2023,
close_valve(channel=0),Fri Aug 25 13:56:52 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:56:53 2023,
dispense(pressure=100),Fri Aug 25 13:57:01 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:01 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:57:06 2023,
dispense(pressure=100),Fri Aug 25 13:57:10 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:10 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:57:12 2023,
dispense(pressure=100),Fri Aug 25 13:57:16 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:16 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:57:19 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:57:27 2023,
close_valve(channel=0),Fri Aug 25 13:57:30 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:57:31 2023,
dispense(pressure=100),Fri Aug 25 13:57:33 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:33 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:57:37 2023,
dispense(pressure=100),Fri Aug 25 13:57:41 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:41 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:57:44 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:57:47 2023,
close_valve(channel=0),Fri Aug 25 13:57:51 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:57:52 2023,
dispense(pressure=100),Fri Aug 25 13:57:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:57:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:58:04 2023,
dispense(pressure=100),Fri Aug 25 13:58:08 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:58:08 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:58:11 2023,
dispense(pressure=100),Fri Aug 25 13:58:15 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:58:15 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:58:17 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:58:26 2023,
close_valve(channel=0),Fri Aug 25 13:58:29 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:58:30 2023,
dispense(pressure=100),Fri Aug 25 13:58:32 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:58:32 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:58:36 2023,
dispense(pressure=100),Fri Aug 25 13:58:40 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:58:40 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:58:43 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:58:46 2023,
close_valve(channel=0),Fri Aug 25 13:58:50 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:58:51 2023,
dispense(pressure=100),Fri Aug 25 13:58:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:58:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:59:03 2023,
dispense(pressure=100),Fri Aug 25 13:59:07 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:59:07 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:59:10 2023,
dispense(pressure=100),Fri Aug 25 13:59:14 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:59:14 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:59:16 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:59:25 2023,
close_valve(channel=0),Fri Aug 25 13:59:28 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:59:29 2023,
dispense(pressure=100),Fri Aug 25 13:59:31 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:59:31 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:59:35 2023,
dispense(pressure=100),Fri Aug 25 13:59:39 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:59:39 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 13:59:42 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 13:59:45 2023,
close_valve(channel=0),Fri Aug 25 13:59:49 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 13:59:50 2023,
dispense(pressure=100),Fri Aug 25 13:59:58 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 13:59:58 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:00:03 2023,
dispense(pressure=100),Fri Aug 25 14:00:07 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:00:07 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:00:09 2023,
dispense(pressure=100),Fri Aug 25 14:00:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:00:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:00:16 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:20:47 2023,
close_valve(channel=0),Fri Aug 25 14:20:52 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:20:53 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:20:58 2023,
close_valve(channel=0),Fri Aug 25 14:20:59 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:21:00 2023,
dispense(pressure=100),Fri Aug 25 14:21:53 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:21:53 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:21:55 2023,
dispense(pressure=100),Fri Aug 25 14:22:02 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:02 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:05 2023,
dispense(pressure=100),Fri Aug 25 14:22:12 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:12 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:14 2023,
dispense(pressure=100),Fri Aug 25 14:22:21 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:21 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:24 2023,
dispense(pressure=100),Fri Aug 25 14:22:31 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:31 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:33 2023,
dispense(pressure=100),Fri Aug 25 14:22:44 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:44 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:46 2023,
dispense(pressure=100),Fri Aug 25 14:22:51 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:22:51 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:22:53 2023,
