Seyonic Pipettor Initializing...,Fri Jun 30 10:37:56 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:37:57 2023,
close_valve(channel=0),Fri Jun 30 10:38:00 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:38:01 2023,
dispense(pressure=200),Fri Jun 30 10:38:02 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:38:02 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:38:05 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:38:07 2023,
close_valve(channel=0),Fri Jun 30 10:38:11 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:38:12 2023,
dispense(pressure=200),Fri Jun 30 10:38:13 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:38:13 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:38:16 2023,
