Seyonic Pipettor Initializing...,Wed Jul 12 13:22:24 2023,
dispense(pressure=100),Wed Jul 12 13:27:13 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:27:13 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:27:15 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:27:51 2023,
close_valve(channel=0),Wed Jul 12 13:27:52 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:27:53 2023,
dispense(pressure=100),Wed Jul 12 13:27:55 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:27:55 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:27:57 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:28:00 2023,
close_valve(channel=0),Wed Jul 12 13:28:02 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:28:03 2023,
dispense(pressure=100),Wed Jul 12 13:28:05 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:28:05 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:28:07 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:28:10 2023,
close_valve(channel=0),Wed Jul 12 13:28:12 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:28:13 2023,
dispense(pressure=100),Wed Jul 12 13:28:15 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:28:15 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:28:17 2023,
dispense(pressure=100),Wed Jul 12 13:28:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:28:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:28:24 2023,
dispense(pressure=100),Wed Jul 12 13:28:28 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:28:28 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:28:30 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:29:04 2023,
close_valve(channel=0),Wed Jul 12 13:29:06 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:29:07 2023,
dispense(pressure=100),Wed Jul 12 13:29:16 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:29:16 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:29:18 2023,
dispense(pressure=100),Wed Jul 12 13:29:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:29:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:29:24 2023,
dispense(pressure=100),Wed Jul 12 13:29:28 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:29:28 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:29:30 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:29:42 2023,
close_valve(channel=0),Wed Jul 12 13:29:44 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:29:45 2023,
dispense(pressure=100),Wed Jul 12 13:29:59 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:29:59 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:02 2023,
dispense(pressure=100),Wed Jul 12 13:30:06 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:30:06 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:08 2023,
dispense(pressure=100),Wed Jul 12 13:30:12 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:30:12 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:14 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:30:17 2023,
close_valve(channel=0),Wed Jul 12 13:30:19 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:30:20 2023,
dispense(pressure=200),Wed Jul 12 13:30:22 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:30:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:24 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:30:27 2023,
close_valve(channel=0),Wed Jul 12 13:30:28 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:30:29 2023,
dispense(pressure=200),Wed Jul 12 13:30:31 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:30:31 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:34 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:30:37 2023,
close_valve(channel=0),Wed Jul 12 13:30:38 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:30:39 2023,
dispense(pressure=200),Wed Jul 12 13:30:41 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:30:41 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:43 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:30:46 2023,
close_valve(channel=0),Wed Jul 12 13:30:48 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:30:49 2023,
dispense(pressure=200),Wed Jul 12 13:30:51 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:30:51 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:30:53 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:30:56 2023,
close_valve(channel=0),Wed Jul 12 13:30:58 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:30:59 2023,
dispense(pressure=200),Wed Jul 12 13:31:01 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:31:01 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:03 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:31:06 2023,
close_valve(channel=0),Wed Jul 12 13:31:07 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:31:08 2023,
dispense(pressure=200),Wed Jul 12 13:31:10 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:31:10 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:12 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:31:15 2023,
close_valve(channel=0),Wed Jul 12 13:31:17 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:31:18 2023,
dispense(pressure=200),Wed Jul 12 13:31:20 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:31:20 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:22 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:31:25 2023,
close_valve(channel=0),Wed Jul 12 13:31:27 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:31:28 2023,
dispense(pressure=200),Wed Jul 12 13:31:30 2023,
set_pressure(pressure=200; direction=1),Wed Jul 12 13:31:30 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:32 2023,
dispense(pressure=100),Wed Jul 12 13:31:38 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:31:38 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:40 2023,
dispense(pressure=100),Wed Jul 12 13:31:44 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:31:44 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:46 2023,
dispense(pressure=100),Wed Jul 12 13:31:50 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:31:50 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:31:52 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:32:06 2023,
close_valve(channel=0),Wed Jul 12 13:32:07 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:32:08 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:32:18 2023,
close_valve(channel=0),Wed Jul 12 13:32:19 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:32:20 2023,
dispense(pressure=20),Wed Jul 12 13:32:22 2023,
set_pressure(pressure=20; direction=1),Wed Jul 12 13:32:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:32:27 2023,
dispense(pressure=100),Wed Jul 12 13:32:32 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:32:32 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:32:34 2023,
dispense(pressure=100),Wed Jul 12 13:32:38 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:32:38 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:32:40 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:32:51 2023,
close_valve(channel=0),Wed Jul 12 13:32:53 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:32:54 2023,
dispense(pressure=100),Wed Jul 12 13:32:57 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:32:57 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:32:59 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:33:03 2023,
close_valve(channel=0),Wed Jul 12 13:33:05 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:33:06 2023,
dispense(pressure=100),Wed Jul 12 13:33:09 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:33:09 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:33:12 2023,
