Seyonic Pipettor Initializing...,Tue Nov 14 09:55:24 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:55:43 2023,
close_valve(channel=0),Tue Nov 14 09:55:47 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:55:48 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:55:53 2023,
close_valve(channel=0),Tue Nov 14 09:55:54 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:55:55 2023,
dispense(pressure=100),Tue Nov 14 09:56:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:56:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:56:50 2023,
dispense(pressure=100),Tue Nov 14 09:56:58 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:56:58 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:00 2023,
dispense(pressure=100),Tue Nov 14 09:57:07 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:57:07 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:09 2023,
dispense(pressure=100),Tue Nov 14 09:57:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:57:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:19 2023,
dispense(pressure=100),Tue Nov 14 09:57:26 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:57:26 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:28 2023,
dispense(pressure=100),Tue Nov 14 09:57:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:57:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:41 2023,
dispense(pressure=100),Tue Nov 14 09:57:46 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:57:46 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:57:48 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:57:57 2023,
close_valve(channel=0),Tue Nov 14 09:58:01 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:58:02 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:58:07 2023,
close_valve(channel=0),Tue Nov 14 09:58:08 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:58:09 2023,
dispense(pressure=100),Tue Nov 14 09:59:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:04 2023,
dispense(pressure=100),Tue Nov 14 09:59:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:13 2023,
dispense(pressure=100),Tue Nov 14 09:59:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:23 2023,
dispense(pressure=100),Tue Nov 14 09:59:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:32 2023,
dispense(pressure=100),Tue Nov 14 09:59:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:42 2023,
dispense(pressure=100),Tue Nov 14 09:59:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:59:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:59:55 2023,
dispense(pressure=100),Tue Nov 14 10:00:00 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:00:00 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:00:02 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:00:10 2023,
close_valve(channel=0),Tue Nov 14 10:00:14 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:00:15 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:00:20 2023,
close_valve(channel=0),Tue Nov 14 10:00:21 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:00:22 2023,
dispense(pressure=100),Tue Nov 14 10:01:15 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:01:15 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:01:18 2023,
dispense(pressure=100),Tue Nov 14 10:01:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:01:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:01:27 2023,
dispense(pressure=100),Tue Nov 14 10:01:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:01:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:01:37 2023,
dispense(pressure=100),Tue Nov 14 10:01:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:01:44 2023,
