Seyonic Pipettor Initializing...,Tue Nov 14 11:03:53 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:04:12 2023,
close_valve(channel=0),Tue Nov 14 11:04:14 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:04:15 2023,
dispense(pressure=100),Tue Nov 14 11:04:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:04:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:04:19 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:04:22 2023,
close_valve(channel=0),Tue Nov 14 11:04:24 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:04:25 2023,
dispense(pressure=100),Tue Nov 14 11:04:27 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:04:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:04:29 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:04:32 2023,
close_valve(channel=0),Tue Nov 14 11:04:33 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:04:34 2023,
dispense(pressure=100),Tue Nov 14 11:04:36 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:04:36 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:04:39 2023,
dispense(pressure=100),Tue Nov 14 11:04:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:04:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:04:46 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:07:19 2023,
close_valve(channel=0),Tue Nov 14 11:07:21 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:07:22 2023,
dispense(pressure=100),Tue Nov 14 11:07:31 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:07:31 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:07:34 2023,
dispense(pressure=100),Tue Nov 14 11:07:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:07:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:07:41 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:07:52 2023,
close_valve(channel=0),Tue Nov 14 11:07:54 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:07:55 2023,
dispense(pressure=100),Tue Nov 14 11:08:07 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:08:07 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:08:09 2023,
dispense(pressure=100),Tue Nov 14 11:08:13 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:08:13 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:08:15 2023,
dispense(pressure=100),Tue Nov 14 11:08:19 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:08:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:08:22 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:08:25 2023,
close_valve(channel=0),Tue Nov 14 11:08:26 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:08:27 2023,
dispense(pressure=200),Tue Nov 14 11:08:33 2023,
set_pressure(pressure=200; direction=1),Tue Nov 14 11:08:33 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:08:35 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:08:42 2023,
close_valve(channel=0),Tue Nov 14 11:08:44 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:08:45 2023,
dispense(pressure=200),Tue Nov 14 11:08:51 2023,
set_pressure(pressure=200; direction=1),Tue Nov 14 11:08:51 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:08:53 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:09:00 2023,
close_valve(channel=0),Tue Nov 14 11:09:02 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:09:03 2023,
dispense(pressure=200),Tue Nov 14 11:09:09 2023,
set_pressure(pressure=200; direction=1),Tue Nov 14 11:09:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:09:11 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:09:18 2023,
close_valve(channel=0),Tue Nov 14 11:09:20 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:09:21 2023,
dispense(pressure=200),Tue Nov 14 11:09:27 2023,
set_pressure(pressure=200; direction=1),Tue Nov 14 11:09:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:09:29 2023,
dispense(pressure=100),Tue Nov 14 11:09:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:09:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:09:41 2023,
dispense(pressure=100),Tue Nov 14 11:09:45 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:09:45 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:09:47 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:16:14 2023,
close_valve(channel=0),Tue Nov 14 11:16:16 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:16:17 2023,
dispense(pressure=100),Tue Nov 14 11:16:28 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:16:28 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:16:30 2023,
dispense(pressure=100),Tue Nov 14 11:16:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:16:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:16:36 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:16:48 2023,
close_valve(channel=0),Tue Nov 14 11:16:49 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:16:51 2023,
dispense(pressure=100),Tue Nov 14 11:17:01 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:17:01 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:17:03 2023,
dispense(pressure=100),Tue Nov 14 11:17:07 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:17:07 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:17:10 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:17:42 2023,
close_valve(channel=0),Tue Nov 14 11:17:43 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:17:44 2023,
dispense(pressure=100),Tue Nov 14 11:17:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:17:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:18:05 2023,
