Seyonic Pipettor Initializing...,Fri Sep 15 11:57:32 2023,
dispense(pressure=100),Fri Sep 15 11:57:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:57:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:57:38 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:57:50 2023,
close_valve(channel=0),Fri Sep 15 11:57:53 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:57:54 2023,
dispense(pressure=100),Fri Sep 15 11:58:04 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:58:04 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:58:10 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:58:42 2023,
close_valve(channel=0),Fri Sep 15 11:58:45 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:58:46 2023,
dispense(pressure=100),Fri Sep 15 11:58:55 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:58:55 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:59:01 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:59:13 2023,
close_valve(channel=0),Fri Sep 15 11:59:16 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:59:17 2023,
