Seyonic Pipettor Initializing...,Tue Sep 12 12:07:11 2023,
dispense(pressure=100),Tue Sep 12 12:07:12 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:07:12 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:07:17 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:07:29 2023,
close_valve(channel=0),Tue Sep 12 12:07:33 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:07:34 2023,
dispense(pressure=100),Tue Sep 12 12:07:43 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:07:43 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:07:54 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:08:26 2023,
close_valve(channel=0),Tue Sep 12 12:08:29 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:08:30 2023,
dispense(pressure=100),Tue Sep 12 12:08:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:08:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:08:45 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:08:57 2023,
close_valve(channel=0),Tue Sep 12 12:08:59 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:09:00 2023,
