Seyonic Pipettor Initializing...,Tue Jun  6 14:27:00 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:27:28 2023,
close_valve(channel=0),Tue Jun  6 14:27:29 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:27:30 2023,
dispense(pressure=100),Tue Jun  6 14:27:57 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:27:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:27:59 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:28:51 2023,
close_valve(channel=0),Tue Jun  6 14:28:52 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:28:53 2023,
dispense(pressure=100),Tue Jun  6 14:29:10 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:29:10 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:29:12 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:29:14 2023,
close_valve(channel=0),Tue Jun  6 14:29:15 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:29:16 2023,
dispense(pressure=100),Tue Jun  6 14:29:21 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:29:21 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:29:23 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:29:28 2023,
close_valve(channel=0),Tue Jun  6 14:29:30 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:29:31 2023,
dispense(pressure=100),Tue Jun  6 14:29:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:29:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:29:38 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:29:43 2023,
close_valve(channel=0),Tue Jun  6 14:29:44 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:29:45 2023,
dispense(pressure=100),Tue Jun  6 14:29:50 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:29:50 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:29:52 2023,
dispense(pressure=100),Tue Jun  6 14:30:03 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:30:03 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:30:04 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:30:09 2023,
close_valve(channel=0),Tue Jun  6 14:30:10 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:30:11 2023,
dispense(pressure=100),Tue Jun  6 14:30:15 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:30:15 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:30:17 2023,
dispense(pressure=100),Tue Jun  6 14:30:22 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:30:23 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:30:24 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 14:30:29 2023,
close_valve(channel=0),Tue Jun  6 14:30:31 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:30:32 2023,
dispense(pressure=10),Tue Jun  6 14:30:54 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:30:54 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:30:56 2023,
open_valve(),Tue Jun  6 14:30:58 2023,
close_valve(channel=0),Tue Jun  6 14:31:08 2023,
