Seyonic Pipettor Initializing...,Thu Jul 13 10:32:56 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:33:16 2023,
close_valve(channel=0),Thu Jul 13 10:33:19 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:33:20 2023,
dispense(pressure=100),Thu Jul 13 10:33:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:33:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:33:26 2023,
dispense(pressure=100),Thu Jul 13 10:33:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:33:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:33:36 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:33:39 2023,
close_valve(channel=0),Thu Jul 13 10:33:43 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:33:44 2023,
dispense(pressure=100),Thu Jul 13 10:33:51 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:33:51 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:33:56 2023,
dispense(pressure=100),Thu Jul 13 10:34:03 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:34:03 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:34:05 2023,
dispense(pressure=100),Thu Jul 13 10:34:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:34:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:34:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:34:24 2023,
close_valve(channel=0),Thu Jul 13 10:34:27 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:34:28 2023,
dispense(pressure=100),Thu Jul 13 10:34:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:34:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:34:34 2023,
dispense(pressure=100),Thu Jul 13 10:34:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:34:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:34:43 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:34:46 2023,
close_valve(channel=0),Thu Jul 13 10:34:50 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:34:51 2023,
dispense(pressure=100),Thu Jul 13 10:34:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:34:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:35:04 2023,
dispense(pressure=100),Thu Jul 13 10:35:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:35:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:35:13 2023,
dispense(pressure=100),Thu Jul 13 10:35:20 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:35:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:35:23 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:35:31 2023,
close_valve(channel=0),Thu Jul 13 10:35:35 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:35:36 2023,
dispense(pressure=100),Thu Jul 13 10:35:38 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:35:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:35:42 2023,
dispense(pressure=100),Thu Jul 13 10:35:49 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:35:49 2023,
set_pressure(pressure=0; direction=1),Thu Jul 13 10:35:51 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 13 10:35:54 2023,
close_valve(channel=0),Thu Jul 13 10:35:58 2023,
set_pressure(pressure=0; direction=2),Thu Jul 13 10:35:59 2023,
dispense(pressure=100),Thu Jul 13 10:36:07 2023,
set_pressure(pressure=100; direction=1),Thu Jul 13 10:36:07 2023,
