Seyonic Pipettor Initializing...,Mon Jul 24 12:30:15 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:30:24 2023,
close_valve(channel=0),Mon Jul 24 12:30:25 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:30:26 2023,
dispense(pressure=20),Mon Jul 24 12:30:30 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:30:30 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:30:35 2023,
dispense(pressure=20),Mon Jul 24 12:30:37 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:30:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:30:43 2023,
dispense(pressure=20),Mon Jul 24 12:30:45 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:30:45 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:30:50 2023,
dispense(pressure=20),Mon Jul 24 12:30:52 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:30:52 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:30:58 2023,
dispense(pressure=20),Mon Jul 24 12:31:00 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:31:00 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:31:06 2023,
