Seyonic Pipettor Initializing...,Thu Aug  3 10:57:16 2023,
dispense(pressure=20),Thu Aug  3 10:57:17 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:17 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:19 2023,
dispense(pressure=20),Thu Aug  3 10:57:24 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:24 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:26 2023,
dispense(pressure=20),Thu Aug  3 10:57:31 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:31 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:33 2023,
dispense(pressure=20),Thu Aug  3 10:57:38 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:38 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:40 2023,
dispense(pressure=20),Thu Aug  3 10:57:45 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:47 2023,
dispense(pressure=20),Thu Aug  3 10:57:52 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:57:52 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:57:54 2023,
