Seyonic Pipettor Initializing...,Mon Jul 24 12:35:11 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:35:17 2023,
close_valve(channel=0),Mon Jul 24 12:35:21 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:35:22 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 12:35:31 2023,
close_valve(channel=0),Mon Jul 24 12:35:32 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 12:35:33 2023,
dispense(pressure=20),Mon Jul 24 12:35:35 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:35:35 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:35:41 2023,
dispense(pressure=20),Mon Jul 24 12:35:43 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:35:43 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:35:48 2023,
dispense(pressure=20),Mon Jul 24 12:35:50 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:35:50 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:35:56 2023,
dispense(pressure=20),Mon Jul 24 12:35:58 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:35:58 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:36:04 2023,
dispense(pressure=20),Mon Jul 24 12:36:06 2023,
set_pressure(pressure=20; direction=1),Mon Jul 24 12:36:06 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 12:36:11 2023,
