Seyonic Pipettor Initializing...,Thu Jul  6 10:59:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 10:59:35 2023,
close_valve(channel=0),Thu Jul  6 10:59:38 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 10:59:39 2023,
dispense(pressure=100),Thu Jul  6 10:59:40 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 10:59:40 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 10:59:44 2023,
dispense(pressure=100),Thu Jul  6 10:59:51 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 10:59:51 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 10:59:53 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:00:03 2023,
close_valve(channel=0),Thu Jul  6 11:00:06 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:00:07 2023,
dispense(pressure=100),Thu Jul  6 11:00:09 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:00:09 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:00:13 2023,
dispense(pressure=100),Thu Jul  6 11:00:20 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:00:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:00:22 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:00:25 2023,
close_valve(channel=0),Thu Jul  6 11:00:29 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:00:30 2023,
dispense(pressure=100),Thu Jul  6 11:00:37 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:00:37 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:00:42 2023,
dispense(pressure=100),Thu Jul  6 11:00:49 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:00:49 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:00:52 2023,
dispense(pressure=100),Thu Jul  6 11:00:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:00:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:01:01 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:01:09 2023,
close_valve(channel=0),Thu Jul  6 11:01:13 2023,
