Seyonic Pipettor Initializing...,Fri Sep 15 11:47:32 2023,
dispense(pressure=100),Fri Sep 15 11:47:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:47:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:47:39 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:47:42 2023,
close_valve(channel=0),Fri Sep 15 11:47:46 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:47:47 2023,
dispense(pressure=100),Fri Sep 15 11:47:54 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:47:54 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:48:06 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:50:30 2023,
close_valve(channel=0),Fri Sep 15 11:50:34 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:50:35 2023,
dispense(pressure=100),Fri Sep 15 11:50:44 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:50:44 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:50:56 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:51:29 2023,
close_valve(channel=0),Fri Sep 15 11:51:31 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:51:32 2023,
dispense(pressure=100),Fri Sep 15 11:51:41 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:51:41 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:51:45 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:51:57 2023,
close_valve(channel=0),Fri Sep 15 11:51:59 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:52:00 2023,
dispense(pressure=100),Fri Sep 15 11:52:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:52:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:52:05 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:52:07 2023,
close_valve(channel=0),Fri Sep 15 11:52:09 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:52:10 2023,
dispense(pressure=100),Fri Sep 15 11:52:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:52:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:52:14 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:52:16 2023,
close_valve(channel=0),Fri Sep 15 11:52:18 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:52:19 2023,
dispense(pressure=100),Fri Sep 15 11:52:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:52:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:52:24 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:52:46 2023,
close_valve(channel=0),Fri Sep 15 11:52:48 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:52:49 2023,
dispense(pressure=100),Fri Sep 15 11:52:50 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:52:50 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:52:53 2023,
dispense(pressure=100),Fri Sep 15 11:53:16 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:53:16 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:53:18 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:55:24 2023,
close_valve(channel=0),Fri Sep 15 11:55:26 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:55:28 2023,
dispense(pressure=100),Fri Sep 15 11:55:37 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:55:37 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:55:41 2023,
dispense(pressure=100),Fri Sep 15 11:55:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:55:48 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:55:51 2023,
dispense(pressure=100),Fri Sep 15 11:55:58 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:55:58 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:56:00 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:56:09 2023,
close_valve(channel=0),Fri Sep 15 11:56:12 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:56:13 2023,
dispense(pressure=100),Fri Sep 15 11:56:22 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:56:22 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 11:56:28 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 11:56:30 2023,
close_valve(channel=0),Fri Sep 15 11:56:33 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 11:56:34 2023,
