Seyonic Pipettor Initializing...,Tue Jun  6 09:42:06 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:42:34 2023,
close_valve(channel=0),Tue Jun  6 09:42:37 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:42:38 2023,
dispense(pressure=100),Tue Jun  6 09:42:40 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:42:41 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:42:44 2023,
dispense(pressure=100),Tue Jun  6 09:42:51 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:42:51 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:42:53 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:43:09 2023,
close_valve(channel=0),Tue Jun  6 09:43:12 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:43:13 2023,
dispense(pressure=100),Tue Jun  6 09:43:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:43:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:43:22 2023,
dispense(pressure=100),Tue Jun  6 09:43:30 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:43:30 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:43:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:43:37 2023,
close_valve(channel=0),Tue Jun  6 09:43:42 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:43:43 2023,
dispense(pressure=100),Tue Jun  6 09:43:57 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:43:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:44:02 2023,
dispense(pressure=100),Tue Jun  6 09:44:09 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:44:09 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:44:11 2023,
dispense(pressure=100),Tue Jun  6 09:44:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:44:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:44:21 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:44:36 2023,
close_valve(channel=0),Tue Jun  6 09:44:39 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:44:40 2023,
dispense(pressure=100),Tue Jun  6 09:44:45 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:44:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:44:49 2023,
dispense(pressure=100),Tue Jun  6 09:44:56 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:44:56 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:44:59 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:45:04 2023,
close_valve(channel=0),Tue Jun  6 09:45:09 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:45:10 2023,
dispense(pressure=100),Tue Jun  6 09:45:24 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:45:24 2023,
