Seyonic Pipettor Initializing...,Wed Jul  5 13:34:12 2023,
dispense(pressure=100),Wed Jul  5 13:42:05 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:42:05 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:42:07 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:42:10 2023,
close_valve(channel=0),Wed Jul  5 13:42:11 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:42:12 2023,
dispense(pressure=100),Wed Jul  5 13:42:14 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:42:14 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:42:17 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:42:20 2023,
close_valve(channel=0),Wed Jul  5 13:42:21 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:42:22 2023,
dispense(pressure=100),Wed Jul  5 13:42:24 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:42:24 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:42:27 2023,
dispense(pressure=100),Wed Jul  5 13:42:40 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:42:40 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:42:42 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:45:16 2023,
close_valve(channel=0),Wed Jul  5 13:45:17 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:45:18 2023,
dispense(pressure=100),Wed Jul  5 13:45:27 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:45:27 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:45:30 2023,
dispense(pressure=100),Wed Jul  5 13:45:35 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:45:35 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:45:37 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:45:48 2023,
close_valve(channel=0),Wed Jul  5 13:45:50 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:45:51 2023,
dispense(pressure=100),Wed Jul  5 13:46:06 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:46:06 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:46:08 2023,
dispense(pressure=100),Wed Jul  5 13:46:20 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:46:20 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:46:22 2023,
dispense(pressure=100),Wed Jul  5 13:46:34 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:46:34 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:46:37 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:46:40 2023,
close_valve(channel=0),Wed Jul  5 13:46:41 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:46:42 2023,
dispense(pressure=200),Wed Jul  5 13:46:44 2023,
set_pressure(pressure=200; direction=1),Wed Jul  5 13:46:44 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:46:46 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:46:49 2023,
close_valve(channel=0),Wed Jul  5 13:46:51 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:46:52 2023,
dispense(pressure=200),Wed Jul  5 13:46:54 2023,
set_pressure(pressure=200; direction=1),Wed Jul  5 13:46:54 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:46:56 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:46:59 2023,
close_valve(channel=0),Wed Jul  5 13:47:01 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:47:02 2023,
dispense(pressure=200),Wed Jul  5 13:47:04 2023,
set_pressure(pressure=200; direction=1),Wed Jul  5 13:47:04 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:47:06 2023,
dispense(pressure=100),Wed Jul  5 13:47:15 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:47:15 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:47:17 2023,
dispense(pressure=100),Wed Jul  5 13:47:24 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:47:24 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:47:26 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:00:40 2023,
close_valve(channel=0),Wed Jul  5 14:00:42 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:00:43 2023,
dispense(pressure=100),Wed Jul  5 14:00:54 2023,
