Seyonic Pipettor Initializing...,Fri Jun 30 13:52:56 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:52:57 2023,
close_valve(channel=0),Fri Jun 30 13:53:00 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:01 2023,
dispense(pressure=200),Fri Jun 30 13:53:02 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:02 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:06 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:53:08 2023,
close_valve(channel=0),Fri Jun 30 13:53:11 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:12 2023,
dispense(pressure=200),Fri Jun 30 13:53:13 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:13 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:16 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:53:18 2023,
close_valve(channel=0),Fri Jun 30 13:53:21 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:22 2023,
dispense(pressure=200),Fri Jun 30 13:53:23 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:23 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:26 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:53:29 2023,
close_valve(channel=0),Fri Jun 30 13:53:32 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:33 2023,
dispense(pressure=200),Fri Jun 30 13:53:34 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:34 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:37 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:53:39 2023,
close_valve(channel=0),Fri Jun 30 13:53:42 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:43 2023,
dispense(pressure=200),Fri Jun 30 13:53:44 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:44 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:48 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:53:50 2023,
close_valve(channel=0),Fri Jun 30 13:53:53 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:53:54 2023,
dispense(pressure=200),Fri Jun 30 13:53:55 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:53:55 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:53:58 2023,
dispense(pressure=200),Fri Jun 30 13:54:04 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:54:04 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:54:06 2023,
dispense(pressure=200),Fri Jun 30 13:54:10 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:54:10 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:54:12 2023,
