Seyonic Pipettor Initializing...,Thu Jul 27 13:57:13 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 13:57:22 2023,
close_valve(channel=0),Thu Jul 27 13:57:25 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 13:57:26 2023,
dispense(pressure=100),Thu Jul 27 13:57:28 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:57:28 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:57:32 2023,
dispense(pressure=100),Thu Jul 27 13:57:39 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:57:39 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:57:42 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 13:57:45 2023,
close_valve(channel=0),Thu Jul 27 13:57:49 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 13:57:50 2023,
dispense(pressure=100),Thu Jul 27 13:57:58 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:57:58 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:58:02 2023,
dispense(pressure=100),Thu Jul 27 13:58:09 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:58:09 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:58:12 2023,
dispense(pressure=100),Thu Jul 27 13:58:19 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:58:19 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:58:21 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 13:58:30 2023,
close_valve(channel=0),Thu Jul 27 13:58:33 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 13:58:34 2023,
dispense(pressure=100),Thu Jul 27 13:58:36 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:58:36 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:58:40 2023,
dispense(pressure=100),Thu Jul 27 13:58:47 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:58:47 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:58:49 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 13:58:52 2023,
close_valve(channel=0),Thu Jul 27 13:58:57 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 13:58:58 2023,
dispense(pressure=100),Thu Jul 27 13:59:05 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:59:05 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:59:10 2023,
dispense(pressure=100),Thu Jul 27 13:59:17 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:59:17 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:59:20 2023,
dispense(pressure=100),Thu Jul 27 13:59:27 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:59:27 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:59:29 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 13:59:38 2023,
close_valve(channel=0),Thu Jul 27 13:59:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 13:59:42 2023,
dispense(pressure=100),Thu Jul 27 13:59:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:59:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:59:48 2023,
dispense(pressure=100),Thu Jul 27 13:59:56 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 13:59:56 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 13:59:58 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:00:01 2023,
close_valve(channel=0),Thu Jul 27 14:00:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:00:06 2023,
dispense(pressure=100),Thu Jul 27 14:00:14 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:00:14 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:00:19 2023,
dispense(pressure=100),Thu Jul 27 14:00:26 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:00:26 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:00:28 2023,
dispense(pressure=100),Thu Jul 27 14:00:35 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:00:35 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:00:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:00:46 2023,
close_valve(channel=0),Thu Jul 27 14:00:50 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:00:51 2023,
dispense(pressure=100),Thu Jul 27 14:00:53 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:00:53 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:00:57 2023,
dispense(pressure=100),Thu Jul 27 14:01:04 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:01:04 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:01:06 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:01:09 2023,
close_valve(channel=0),Thu Jul 27 14:01:14 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:01:15 2023,
dispense(pressure=100),Thu Jul 27 14:01:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:01:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:01:27 2023,
dispense(pressure=100),Thu Jul 27 14:01:34 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:01:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:01:37 2023,
dispense(pressure=100),Thu Jul 27 14:01:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:01:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:01:46 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:22:18 2023,
close_valve(channel=0),Thu Jul 27 14:22:23 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:22:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:22:28 2023,
close_valve(channel=0),Thu Jul 27 14:22:30 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:22:31 2023,
dispense(pressure=100),Thu Jul 27 14:23:24 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:23:24 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:23:26 2023,
dispense(pressure=100),Thu Jul 27 14:23:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:23:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:23:36 2023,
dispense(pressure=100),Thu Jul 27 14:23:43 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:23:43 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:23:45 2023,
dispense(pressure=100),Thu Jul 27 14:23:52 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:23:52 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:23:54 2023,
dispense(pressure=100),Thu Jul 27 14:24:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:24:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:24:04 2023,
dispense(pressure=100),Thu Jul 27 14:24:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:24:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:24:17 2023,
dispense(pressure=100),Thu Jul 27 14:24:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:24:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:24:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:24:32 2023,
close_valve(channel=0),Thu Jul 27 14:24:37 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:24:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:24:43 2023,
close_valve(channel=0),Thu Jul 27 14:24:44 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:24:45 2023,
dispense(pressure=100),Thu Jul 27 14:25:38 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:25:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:25:40 2023,
dispense(pressure=100),Thu Jul 27 14:25:47 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:25:47 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:25:50 2023,
dispense(pressure=100),Thu Jul 27 14:25:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:25:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:25:59 2023,
dispense(pressure=100),Thu Jul 27 14:26:06 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:26:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:26:08 2023,
dispense(pressure=100),Thu Jul 27 14:26:16 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:26:16 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:26:18 2023,
dispense(pressure=100),Thu Jul 27 14:26:29 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:26:29 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:26:31 2023,
dispense(pressure=100),Thu Jul 27 14:26:36 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:26:36 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:26:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:26:46 2023,
close_valve(channel=0),Thu Jul 27 14:26:51 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:26:52 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:26:57 2023,
close_valve(channel=0),Thu Jul 27 14:26:58 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:26:59 2023,
dispense(pressure=100),Thu Jul 27 14:27:52 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:27:52 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:27:54 2023,
dispense(pressure=100),Thu Jul 27 14:28:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:04 2023,
dispense(pressure=100),Thu Jul 27 14:28:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:13 2023,
dispense(pressure=100),Thu Jul 27 14:28:20 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:23 2023,
dispense(pressure=100),Thu Jul 27 14:28:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:32 2023,
dispense(pressure=100),Thu Jul 27 14:28:43 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:43 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:45 2023,
dispense(pressure=100),Thu Jul 27 14:28:50 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:28:50 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:28:52 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:29:00 2023,
close_valve(channel=0),Thu Jul 27 14:29:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:29:06 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:29:11 2023,
close_valve(channel=0),Thu Jul 27 14:29:12 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:29:13 2023,
dispense(pressure=100),Thu Jul 27 14:30:06 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:08 2023,
dispense(pressure=100),Thu Jul 27 14:30:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:18 2023,
dispense(pressure=100),Thu Jul 27 14:30:25 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:25 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:27 2023,
dispense(pressure=100),Thu Jul 27 14:30:34 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:37 2023,
dispense(pressure=100),Thu Jul 27 14:30:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:46 2023,
dispense(pressure=100),Thu Jul 27 14:30:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:30:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:30:59 2023,
dispense(pressure=100),Thu Jul 27 14:31:04 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:31:04 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:31:06 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:31:15 2023,
close_valve(channel=0),Thu Jul 27 14:31:19 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:31:20 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:31:25 2023,
close_valve(channel=0),Thu Jul 27 14:31:26 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:31:27 2023,
dispense(pressure=100),Thu Jul 27 14:32:20 2023,
