Seyonic Pipettor Initializing...,Wed Sep 20 11:59:16 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:59:36 2023,
close_valve(channel=0),Wed Sep 20 11:59:37 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:59:39 2023,
dispense(pressure=100),Wed Sep 20 11:59:49 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:59:49 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:59:51 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 11:59:53 2023,
close_valve(channel=0),Wed Sep 20 11:59:54 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 11:59:55 2023,
dispense(pressure=100),Wed Sep 20 11:59:56 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 11:59:56 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 11:59:58 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:00:00 2023,
close_valve(channel=0),Wed Sep 20 12:00:01 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:00:02 2023,
dispense(pressure=100),Wed Sep 20 12:00:03 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:00:03 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:00:05 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:00:07 2023,
close_valve(channel=0),Wed Sep 20 12:00:08 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:00:09 2023,
dispense(pressure=100),Wed Sep 20 12:00:10 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:00:10 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:00:12 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 12:00:14 2023,
close_valve(channel=0),Wed Sep 20 12:00:15 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 12:00:16 2023,
dispense(pressure=100),Wed Sep 20 12:00:36 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 12:00:36 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 12:00:38 2023,
