Seyonic Pipettor Initializing...,Thu Aug  3 15:13:08 2023,
set_pressure(pressure=-100; direction=None),Thu Aug  3 15:13:45 2023,
close_valve(channel=0),Thu Aug  3 15:13:46 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:13:47 2023,
dispense(pressure=20),Thu Aug  3 15:13:57 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:13:57 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:14:00 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:14:02 2023,
close_valve(channel=0),Thu Aug  3 15:14:04 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:14:05 2023,
dispense(pressure=20),Thu Aug  3 15:14:23 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:14:23 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:14:25 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:14:27 2023,
close_valve(channel=0),Thu Aug  3 15:14:29 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:14:30 2023,
dispense(pressure=20),Thu Aug  3 15:14:43 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:14:43 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:14:46 2023,
dispense(pressure=20),Thu Aug  3 15:14:48 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:14:48 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:14:50 2023,
