Seyonic Pipettor Initializing...,Thu Aug  3 15:40:04 2023,
dispense(pressure=20),Thu Aug  3 15:40:05 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:40:05 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:40:07 2023,
dispense(pressure=20),Thu Aug  3 15:40:12 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:40:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:40:14 2023,
dispense(pressure=20),Thu Aug  3 15:40:19 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:40:19 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:40:21 2023,
dispense(pressure=20),Thu Aug  3 15:40:26 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:40:26 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:40:28 2023,
dispense(pressure=20),Thu Aug  3 15:40:33 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:40:33 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:40:35 2023,
