Seyonic Pipettor Initializing...,Wed Aug  2 15:38:21 2023,
dispense(pressure=20),Wed Aug  2 15:38:22 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:38:22 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:38:24 2023,
dispense(pressure=20),Wed Aug  2 15:38:30 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:38:30 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:38:32 2023,
dispense(pressure=20),Wed Aug  2 15:38:38 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:38:38 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:38:40 2023,
dispense(pressure=20),Wed Aug  2 15:38:46 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:38:46 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:38:48 2023,
dispense(pressure=20),Wed Aug  2 15:38:54 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:38:54 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:38:56 2023,
dispense(pressure=20),Wed Aug  2 15:39:02 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:02 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:04 2023,
