Seyonic Pipettor Initializing...,Tue Jul 25 13:41:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:41:54 2023,
close_valve(channel=0),Tue Jul 25 13:41:55 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:41:56 2023,
dispense(pressure=100),Tue Jul 25 13:42:05 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:05 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:07 2023,
dispense(pressure=100),Tue Jul 25 13:42:18 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:18 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:20 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:42:23 2023,
close_valve(channel=0),Tue Jul 25 13:42:24 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:42:25 2023,
dispense(pressure=100),Tue Jul 25 13:42:26 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:26 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:28 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:42:30 2023,
close_valve(channel=0),Tue Jul 25 13:42:32 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:42:33 2023,
dispense(pressure=100),Tue Jul 25 13:42:34 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:34 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:36 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:42:38 2023,
close_valve(channel=0),Tue Jul 25 13:42:39 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:42:40 2023,
dispense(pressure=100),Tue Jul 25 13:42:41 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:41 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:43 2023,
dispense(pressure=100),Tue Jul 25 13:42:47 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:42:47 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:42:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:42:58 2023,
close_valve(channel=0),Tue Jul 25 13:42:59 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:43:00 2023,
dispense(pressure=100),Tue Jul 25 13:43:01 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:43:01 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:43:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:43:05 2023,
close_valve(channel=0),Tue Jul 25 13:43:06 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:43:07 2023,
dispense(pressure=100),Tue Jul 25 13:43:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:43:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:43:10 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:43:12 2023,
close_valve(channel=0),Tue Jul 25 13:43:14 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:43:15 2023,
dispense(pressure=100),Tue Jul 25 13:43:16 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:43:16 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:43:18 2023,
dispense(pressure=100),Tue Jul 25 13:43:22 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:43:22 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:43:24 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 13:43:58 2023,
close_valve(channel=0),Tue Jul 25 13:44:00 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 13:44:01 2023,
dispense(pressure=100),Tue Jul 25 13:44:11 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:44:11 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:44:13 2023,
dispense(pressure=100),Tue Jul 25 13:44:22 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 13:44:22 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 13:44:24 2023,
