Seyonic Pipettor Initializing...,Fri Jun 30 10:23:18 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:23:19 2023,
close_valve(channel=0),Fri Jun 30 10:23:22 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:23:23 2023,
dispense(pressure=200),Fri Jun 30 10:23:24 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:23:24 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:23:27 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:23:29 2023,
close_valve(channel=0),Fri Jun 30 10:23:32 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:23:33 2023,
dispense(pressure=200),Fri Jun 30 10:23:34 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:23:34 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:23:37 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:23:40 2023,
close_valve(channel=0),Fri Jun 30 10:23:43 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:23:44 2023,
dispense(pressure=200),Fri Jun 30 10:23:45 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:23:45 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:23:48 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:23:50 2023,
close_valve(channel=0),Fri Jun 30 10:23:53 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:23:54 2023,
dispense(pressure=200),Fri Jun 30 10:23:55 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:23:55 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:23:58 2023,
