Seyonic Pipettor Initializing...,Tue Jul 11 11:17:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:17:11 2023,
close_valve(channel=0),Tue Jul 11 11:17:12 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:17:13 2023,
dispense(pressure=100),Tue Jul 11 11:17:23 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:17:23 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:17:25 2023,
dispense(pressure=100),Tue Jul 11 11:17:30 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:17:30 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:17:32 2023,
dispense(pressure=100),Tue Jul 11 11:17:36 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:17:36 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:17:38 2023,
