Seyonic Pipettor Initializing...,Wed Aug  2 09:45:41 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 09:46:11 2023,
close_valve(channel=0),Wed Aug  2 09:46:12 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:46:13 2023,
dispense(pressure=20),Wed Aug  2 09:46:24 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 09:46:24 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 09:46:26 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 09:46:28 2023,
close_valve(channel=0),Wed Aug  2 09:46:30 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:46:31 2023,
dispense(pressure=20),Wed Aug  2 09:46:49 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 09:46:49 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 09:46:51 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 09:46:53 2023,
close_valve(channel=0),Wed Aug  2 09:46:55 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 09:46:56 2023,
dispense(pressure=20),Wed Aug  2 09:47:03 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 09:47:03 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 09:47:05 2023,
