Seyonic Pipettor Initializing...,Fri Jun 30 13:36:19 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:36:24 2023,
close_valve(channel=0),Fri Jun 30 13:36:27 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:36:28 2023,
dispense(pressure=200),Fri Jun 30 13:36:29 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:36:29 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:36:32 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:36:34 2023,
close_valve(channel=0),Fri Jun 30 13:36:37 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:36:38 2023,
dispense(pressure=200),Fri Jun 30 13:36:39 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:36:39 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:36:43 2023,
dispense(pressure=200),Fri Jun 30 13:36:49 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:36:49 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:36:51 2023,
dispense(pressure=200),Fri Jun 30 13:36:55 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:36:55 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:36:57 2023,
